marksInside50,handballs,clangers,hitoutsToAdvantage,penalty50sAgainst,disposals,goalAssists,kickEfficiency,kicksEffective,marksUncontested,tackles,freesFor,behinds,playerId,goals,inside50s,disposalEfficiency,blocks,squadId,marks,hitouts,kicks,marksContested,possessionsContested,freesAgainst,clearances,kicksIneffective,possessionsUncontested,shortDisplayName,jumperNumber,positionName,firstname,positionId,surname,displayName,positionCode,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
0,3,2,0,0,15,0,75,9,4,3,0,0,295608,0,2,80,1,140,4,0,12,0,7,0,1,1,9,"Biggs, S",24,Interchange,Shane,21,Biggs,S.Biggs,INT,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,8,0,5,0,22,2,100,14,1,7,1,0,297373,0,3,91,0,140,1,9,14,0,11,0,6,0,11,"Bontempelli, M",4,Centre,Marcus,8,Bontempelli,M.Bontempelli,C,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,11,5,0,0,27,0,56,9,3,4,2,0,220010,0,1,59,1,140,4,0,16,1,11,2,1,5,12,"Boyd, M",5,Back Pocket,Matthew,3,Boyd,M.Boyd,BP,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
2,4,2,4,0,14,0,70,7,2,0,0,2,296367,3,4,71,0,140,8,14,10,6,9,0,0,2,6,"Boyd, T",17,Full Forward,Tom,14,Boyd,T.Boyd,FF,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,4,2,0,0,11,0,43,3,1,4,1,0,991939,1,1,46,0,140,1,0,7,0,3,0,0,2,7,"Cordy, Z",12,Centre Half Forward,Zaine,11,Cordy,Z.Cordy,CHF,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
2,13,1,0,0,23,0,50,5,3,8,3,0,291526,0,4,61,0,140,3,0,10,0,11,0,1,4,14,"Dahlhaus, L",6,Ruck Rover,Luke,17,Dahlhaus,L.Dahlhaus,RR,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,3,1,0,0,14,0,54,6,3,5,0,1,295136,0,1,64,0,140,3,0,11,0,4,0,1,4,11,"Daniel, C",35,Interchange,Caleb,22,Daniel,C.Daniel,INT,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
1,4,1,0,0,11,0,71,5,3,5,0,0,295712,3,3,82,0,140,3,0,7,0,2,0,0,1,9,"Dickson, T",29,Forward Pocket,Tory,13,Dickson,T.Dickson,FP,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,6,1,0,0,15,0,67,6,3,7,1,0,993834,0,3,67,0,140,3,0,9,0,7,1,2,3,9,"Dunkley, J",20,Half Forward Flank,Josh,10,Dunkley,J.Dunkley,HFF,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,4,2,0,0,9,0,80,4,3,1,1,0,295222,0,1,89,1,140,4,0,5,1,4,0,0,0,7,"Hamling, J",30,Full Back,Joel,2,Hamling,J.Hamling,FB,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,11,5,0,0,19,2,62,5,1,4,1,1,294557,0,4,74,1,140,1,0,8,0,9,0,2,1,12,"Hunter, L",7,Wing,Lachie,7,Hunter,L.Hunter,W,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,8,6,0,0,33,0,64,16,6,1,1,1,294101,0,9,70,0,140,7,0,25,1,9,1,0,4,21,"Johannisen, J",39,Back Pocket,Jason,1,Johannisen,J.Johannisen,BP,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,14,3,0,1,22,0,25,2,2,8,0,0,290799,0,4,41,0,140,2,0,8,0,15,0,8,6,7,"Liberatore, T",21,Rover,Tom,18,Liberatore,T.Liberatore,R,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,20,3,0,0,33,2,54,7,4,3,0,1,295467,0,5,67,1,140,5,0,13,1,14,0,4,4,19,"Macrae, J",11,Interchange,Jack,19,Macrae,J.Macrae,INT,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,10,3,0,1,18,0,62,5,2,5,4,1,996483,1,2,78,0,140,2,0,8,0,9,0,2,1,9,"McLean, T",16,Interchange,Toby,20,McLean,T.McLean,INT,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,13,2,0,0,15,0,50,1,1,4,2,0,250712,0,0,93,1,140,3,0,2,2,10,1,1,0,6,"Morris, D",38,Centre Half Back,Dale,5,Morris,D.Morris,CHB,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
0,13,3,0,0,25,0,42,5,2,4,1,0,271439,3,5,56,0,140,3,0,12,1,10,0,1,5,14,"Picken, L",42,Wing,Liam,9,Picken,L.Picken,W,Western Bulldogs,160,140,Sydney Swans,27,9835,1,98350401
