marksInside50,handballs,clangers,hitoutsToAdvantage,penalty50sAgainst,disposals,goalAssists,kickEfficiency,kicksEffective,marksUncontested,tackles,freesFor,behinds,playerId,goals,inside50s,disposalEfficiency,period,blocks,squadId,marks,hitouts,kicks,marksContested,possessionsContested,freesAgainst,clearances,kicksIneffective,possessionsUncontested,matchId,periodId
0,3,0,0,0,7,0,50,2,1,1,0,0,220010,0,0,43,3,0,140,1,0,4,0,2,0,0,2,5,98350401,3
0,4,1,0,0,6,0,50,1,1,1,0,0,250712,0,0,83,3,0,140,2,0,2,1,3,0,0,0,3,98350401,3
0,2,0,0,0,3,0,0,0,0,1,0,0,271439,0,1,67,3,0,140,0,0,1,0,2,0,1,1,0,98350401,3
0,0,1,2,0,3,0,33,1,1,0,0,0,280012,0,0,33,3,0,140,1,5,3,0,1,0,1,1,2,98350401,3
0,0,0,0,0,2,0,100,2,2,1,0,0,281139,0,0,100,3,0,140,2,0,2,0,0,0,0,0,2,98350401,3
0,3,1,0,1,4,0,0,0,0,4,0,0,290799,0,1,25,3,0,140,0,0,1,0,4,0,2,1,0,98350401,3
1,1,0,0,0,4,0,67,2,2,5,1,0,291526,0,1,75,3,0,140,2,0,3,0,1,0,0,1,3,98350401,3
0,0,0,0,0,0,0,0,0,0,0,0,0,291814,0,0,0,3,0,140,0,0,0,0,0,0,0,0,0,98350401,3
0,1,0,0,0,3,0,50,1,0,3,1,0,293847,1,0,67,3,0,140,0,0,2,0,3,0,1,1,1,98350401,3
1,2,1,0,0,4,0,0,0,1,0,0,1,293884,0,0,25,3,0,140,1,0,2,0,2,0,0,1,2,98350401,3
0,1,0,0,0,6,0,80,4,1,0,0,0,294101,0,3,83,3,0,140,1,0,5,0,2,0,0,1,3,98350401,3
0,3,0,0,0,5,0,50,1,0,3,0,1,294557,0,1,80,3,0,140,0,0,2,0,1,0,0,1,5,98350401,3
0,0,0,0,0,4,0,25,1,0,0,0,1,295136,0,0,25,3,0,140,0,0,4,0,0,0,0,3,4,98350401,3
0,0,1,0,0,1,0,100,1,0,1,0,0,295222,0,1,100,3,0,140,0,0,1,0,1,0,0,0,1,98350401,3
0,8,1,0,0,11,1,67,2,2,0,0,1,295467,0,3,54,3,0,140,3,0,3,1,6,0,1,1,5,98350401,3
0,1,1,0,0,5,0,50,2,1,0,0,0,295608,0,0,60,3,1,140,1,0,4,0,2,0,0,1,3,98350401,3
0,1,0,0,0,3,0,100,2,1,1,0,0,295712,1,1,100,3,0,140,1,0,2,0,0,0,0,0,3,98350401,3
0,2,0,0,0,5,0,67,2,0,0,0,1,296367,0,1,60,3,0,140,4,3,3,4,4,0,0,1,1,98350401,3
0,2,0,1,0,6,0,100,4,0,3,0,0,297373,0,1,83,3,0,140,0,2,4,0,5,0,2,0,2,98350401,3
0,1,0,0,0,2,0,100,1,1,0,0,0,991939,0,0,100,3,0,140,1,0,1,0,1,0,0,0,1,98350401,3
0,1,0,0,0,2,0,100,1,1,1,0,0,993834,0,0,100,3,0,140,1,0,1,0,0,0,0,0,2,98350401,3
0,5,1,0,1,6,0,100,1,1,3,1,0,996483,0,0,83,3,0,140,1,0,1,0,3,0,1,0,3,98350401,3
0,1,0,0,0,2,0,100,1,1,0,0,0,230140,0,0,100,3,0,160,1,0,1,0,0,0,0,0,2,98350401,3
0,4,0,0,0,8,0,100,4,1,0,0,0,230253,0,0,75,3,0,160,1,0,4,0,3,0,0,0,4,98350401,3
0,1,0,0,0,3,0,100,2,0,1,0,0,240072,0,0,100,3,0,160,1,0,2,1,1,0,0,0,2,98350401,3
0,2,0,0,0,5,0,100,3,3,1,0,0,240226,0,2,60,3,0,160,3,0,3,0,2,0,0,0,3,98350401,3
0,1,0,0,0,4,1,67,2,2,2,0,0,240399,0,2,75,3,0,160,2,0,3,0,1,0,0,1,4,98350401,3
0,2,1,0,0,5,0,33,1,1,0,0,0,250338,0,0,60,3,0,160,1,0,3,0,1,0,0,1,3,98350401,3
1,4,0,0,0,6,0,50,1,2,2,0,0,260382,1,0,67,3,0,160,2,0,2,0,4,0,2,1,3,98350401,3
1,3,0,2,0,5,0,50,1,0,0,0,1,270742,0,0,80,3,0,160,1,3,2,1,3,0,0,1,2,98350401,3
0,3,1,0,1,4,0,100,1,1,2,0,0,270899,0,0,100,3,1,160,2,0,1,1,3,0,0,0,2,98350401,3
0,2,1,0,0,3,0,0,0,0,3,0,0,290117,0,0,67,3,0,160,0,0,1,0,2,1,1,1,1,98350401,3
0,2,2,0,0,11,0,100,9,4,0,0,0,290307,0,0,100,3,0,160,5,0,9,1,3,1,0,0,9,98350401,3
