period,scorepoints,periodSeconds,squadId,playerId,scoreName,matchId,scoreFlowId
1,1,565,160,240226,behind,98350401,98350401_1
1,6,734,160,290778,goal,98350401,98350401_1
1,1,854,160,240399,behind,98350401,98350401_1
1,6,1194,140,991939,goal,98350401,98350401_1
1,6,1348,140,295712,goal,98350401,98350401_1
2,6,162,140,296367,goal,98350401,98350401_1
2,1,278,160,240226,behind,98350401,98350401_1
2,6,332,160,250338,goal,98350401,98350401_1
2,6,545,140,295712,goal,98350401,98350401_1
2,1,633,140,0,rushed,98350401,98350401_1
2,6,672,140,271439,goal,98350401,98350401_1
2,6,773,160,291856,goal,98350401,98350401_1
2,6,929,160,291357,goal,98350401,98350401_1
2,6,1072,160,260382,goal,98350401,98350401_1
2,6,1176,160,260382,goal,98350401,98350401_1
2,6,1601,140,296367,goal,98350401,98350401_1
2,6,1684,160,291856,goal,98350401,98350401_1
2,6,1907,140,996483,goal,98350401,98350401_1
3,1,123,160,270742,behind,98350401,98350401_1
3,6,241,140,295712,goal,98350401,98350401_1
3,1,401,140,295467,behind,98350401,98350401_1
3,1,532,140,294557,behind,98350401,98350401_1
3,1,826,160,0,rushed,98350401,98350401_1
3,6,968,160,260382,goal,98350401,98350401_1
3,6,1169,140,293847,goal,98350401,98350401_1
3,1,1261,140,0,rushed,98350401,98350401_1
3,1,1491,140,295136,behind,98350401,98350401_1
3,1,1598,140,293884,behind,98350401,98350401_1
3,1,1666,140,296367,behind,98350401,98350401_1
4,1,280,160,996765,behind,98350401,98350401_1
4,6,425,160,240399,goal,98350401,98350401_1
4,6,630,140,293884,goal,98350401,98350401_1
4,6,734,160,294036,goal,98350401,98350401_1
4,6,1026,140,271439,goal,98350401,98350401_1
4,1,1212,140,294101,behind,98350401,98350401_1
4,1,1256,140,0,rushed,98350401,98350401_1
4,6,1299,140,296367,goal,98350401,98350401_1
4,1,1388,160,230140,behind,98350401,98350401_1
4,1,1491,140,296367,behind,98350401,98350401_1
4,6,1570,140,271439,goal,98350401,98350401_1
4,1,1784,140,996483,behind,98350401,98350401_1
