periodSecs,awaySquadName,matchType,homeSquadId,homeSquadShortCode,homeSquadNickname,matchStatus,roundNumber,homeSquadName,homeSquadGoals,awaySquadNickname,venueId,awaySquadId,venueCode,localStartTime,matchId,homeSquadScore,period,finalCode,periodCompleted,finalShortCode,awaySquadScore,venueName,awaySquadGoals,utcStartTime,awaySquadCode,awaySquadBehinds,homeSquadCode,awaySquadShortCode,homeSquadBehinds,matchNumber,sportId,fixtureId
946,Collingwood,H,8096,CARL,Blues,complete,1,Carlton,7,Magpies,50,8097,IKP,2017-02-03T19:45:00+11:00,100640101,46,4,,4,,11,Ikon Park,1,2017-02-03T08:45:00Z,COFC,5,CFC,COLL,4,1,2,10064
989,GWS Giants,H,8098,ADEL,Crows,complete,1,Adelaide Crows,0,Giants,335,7889,TBT,2017-02-04T16:35:00+10:30,100640102,48,4,,4,,12,Thebarton Oval,0,2017-02-04T06:05:00Z,GWS,0,AFC,GWS,0,2,2,10064
945,Fremantle,H,7387,WB,Bulldogs,complete,1,Western Bulldogs,0,Dockers,110,7886,VUW,2017-02-04T19:40:00+11:00,100640103,44,4,,4,,12,VU Whitten Oval,0,2017-02-04T08:40:00Z,FRFC,0,WBFC,FRE,0,3,2,10064
986,Brisbane Lions,H,7386,MELB,Demons,complete,1,Melbourne,0,Lions,371,7887,CAS,2017-02-05T17:05:00+11:00,100640104,10,4,,4,,25,Casey Fields,0,2017-02-05T06:05:00Z,BFC,0,MFC,BL,0,4,2,10064
950,Adelaide Crows,H,7387,WB,Bulldogs,complete,2,Western Bulldogs,0,Crows,110,8098,VUW,2017-02-10T19:35:00+11:00,100640201,23,4,,4,,48,VU Whitten Oval,0,2017-02-10T08:35:00Z,AFC,0,WBFC,ADEL,0,1,2,10064
1048,GWS Giants,H,8096,CARL,Blues,complete,2,Carlton,7,Giants,50,7889,IKP,2017-02-11T15:35:00+11:00,100640202,47,4,,4,,34,Ikon Park,0,2017-02-11T04:35:00Z,GWS,0,CFC,GWS,4,2,2,10064
1230,Melbourne,H,8097,COLL,Magpies,complete,2,Collingwood,1,Demons,50,7386,IKP,2017-02-11T19:40:00+11:00,100640203,25,4,,4,,44,Ikon Park,0,2017-02-11T08:40:00Z,MFC,0,COFC,MELB,5,3,2,10064
973,Brisbane Lions,H,7886,FRE,Dockers,complete,2,Fremantle,0,Lions,194,7887,FRE,2017-02-12T16:05:00+08:00,100640204,23,4,,4,,36,Fremantle Oval,0,2017-02-12T08:05:00Z,BFC,0,FRFC,BL,0,4,2,10064
1068,Fremantle,H,7889,GWS,Giants,complete,3,GWS Giants,0,Dockers,402,7886,BISP,2017-02-18T12:05:00+11:00,100640301,43,4,,4,,43,Blacktown International Sportspark,0,2017-02-18T01:05:00Z,FRFC,0,GWS,FRE,0,1,2,10064
1002,Collingwood,H,7887,BL,Lions,complete,3,Brisbane Lions,0,Magpies,2789,8097,SPSC,2017-02-18T15:35:00+10:00,100640302,27,4,,4,,23,South Pine Sports Complex,1,2017-02-18T05:35:00Z,COFC,5,BFC,COLL,0,2,2,10064
