marksInside50,handballs,positionCode,clangers,hitoutsToAdvantage,penalty50sAgainst,disposals,goalAssists,kickEfficiency,kicksEffective,marksUncontested,tackles,freesFor,behinds,playerId,goals,inside50s,jumperNumber,disposalEfficiency,blocks,squadId,marks,hitouts,kicks,marksContested,possessionsContested,freesAgainst,clearances,kicksIneffective,possessionsUncontested,firstname,recruitedFrom,mainPlayingPosition,displayName,shortDisplayName,positionName,debut,positionId,surname,dob,height,squadShortName,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
1,7,R,2,0,0,14,0,43,3,3,3,0,1,998154,1,3,13,64,0,8096,3,0,7,0,5,0,0,3,7,Lauren,Darebin Falcons,Mid-Forward,L.Arnell,"Arnell, L",Rover,2017,18,Arnell,1987-03-15T00:00:00+11:00,165,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,2,HFF,1,0,0,5,0,100,3,1,0,0,0,997662,0,0,14,100,0,8096,1,0,3,0,4,0,0,0,1,Laura,Diamond Creek,General Defender,L.Attard,"Attard, L",Half Forward Flank,2017,10,Attard,1986-09-10T00:00:00+10:00,168,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,3,EMERG,0,0,0,6,0,67,2,0,4,1,0,997664,0,1,26,50,1,8096,0,0,3,0,6,0,3,1,1,Shae,Diamond Creek,Midfielder,S.Audley,"Audley, S",Emergency,2017,23,Audley,1988-06-13T00:00:00+10:00,160,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,1,INT,0,0,0,1,1,0,0,0,0,0,0,997715,0,0,22,100,0,8096,0,0,0,0,0,0,0,0,1,Isabella,Bendigo Thunder,Key Forward,I.Ayre,"Ayre, I",Interchange,2017,21,Ayre,1998-12-09T00:00:00+11:00,176,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,2,C,4,0,0,11,0,33,3,1,4,1,0,1006996,0,2,12,46,0,8096,2,0,9,1,4,1,1,4,6,Lauren,Diamond Creek,Midfielder,L.Brazzale,"Brazzale, L",Centre,2017,8,Brazzale,1993-11-05T00:00:00+11:00,163,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,2,EMERG,0,0,0,5,0,67,2,1,2,1,0,1007133,0,2,27,40,0,8096,1,0,3,0,3,0,0,1,2,Alison,St Kilda Sharks,Midfielder,A.Brown,"Brown, A",Emergency,2017,24,Brown,1997-09-21T00:00:00+10:00,179,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,11,BP,5,0,0,26,0,73,11,3,0,0,0,1003020,1,4,1,77,0,8096,3,0,15,0,8,2,1,1,17,Brianna,St Kilda Sharks,Key Defender,B.Davey,"Davey, B",Back Pocket,2017,1,Davey,1995-01-13T00:00:00+11:00,171,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,3,FP,0,0,0,7,0,75,3,1,4,1,0,1007003,0,1,30,71,1,8096,1,16,4,0,5,0,1,1,2,Alison,Diamond Creek,Ruckman,A.Downie,"Downie, A",Forward Pocket,2017,13,Downie,1984-07-17T00:00:00+10:00,188,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,6,CHF,0,0,0,10,0,75,3,0,4,0,0,1007137,0,3,15,50,0,8096,0,0,4,0,4,0,1,1,6,Nat,Darebin Falcons,Midfielder,N.Exon,"Exon, N",Centre Half Forward,2017,11,Exon,1992-12-07T00:00:00+11:00,162,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,9,HBF,3,0,0,10,0,100,1,1,2,0,0,997695,0,0,5,90,1,8096,1,0,1,0,5,3,1,0,6,Katherine,Seaford,Key Forward,K.Gillespie-Jones,"Gillespie-Jones, K",Half Back Flank,2017,4,Gillespie-Jones,1991-04-26T00:00:00+10:00,179,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,2,FF,3,0,0,11,0,67,6,2,2,0,0,296143,0,0,31,64,0,8096,4,0,9,2,9,1,0,2,3,Danielle,Cranbourne,Key Defender,D.Hardiman,"Hardiman, D",Full Forward,2017,14,Hardiman,1994-12-07T00:00:00+11:00,175,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,4,RR,4,0,0,5,0,100,1,0,6,1,0,1006666,0,0,10,40,1,8096,0,0,1,0,5,3,1,0,0,Sarah,Seaford,Midfielder,S.Hosking,"Hosking, S",Ruck Rover,2017,17,Hosking,1995-12-02T00:00:00+11:00,164,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
3,8,RK,3,0,0,17,1,44,4,3,2,0,0,296158,1,2,35,35,0,8096,5,0,9,2,8,0,1,4,9,Bianca,Cranbourne,General Forward,B.Jakobsson,"Jakobsson, B",Ruck,2017,16,Jakobsson,1993-03-30T00:00:00+10:00,174,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
1,4,INT,2,0,0,8,0,25,1,1,2,0,0,1007135,0,0,23,62,0,8096,1,0,4,0,2,1,1,2,5,Jessica,Bendigo Thunder,Midfielder,J.Kennedy,"Kennedy, J",Interchange,2017,22,Kennedy,1990-07-12T00:00:00+10:00,165,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,5,BP,7,0,0,12,0,14,1,0,6,0,0,997678,0,2,4,33,0,8096,0,0,7,0,8,5,4,4,4,Madeline,Melbourne Uni,Midfielder,M.Keryk,"Keryk, M",Back Pocket,2017,3,Keryk,1995-03-09T00:00:00+11:00,169,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,4,HBF,3,0,0,9,0,60,3,1,0,0,0,1007012,0,1,7,78,0,8096,1,0,5,0,5,1,0,1,5,Sarah,Bendigo Thunder,General Defender,S.Last,"Last, S",Half Back Flank,2017,6,Last,1994-07-22T00:00:00+10:00,172,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,4,INT,0,0,0,8,0,0,0,0,4,0,0,1007016,0,0,2,38,0,8096,0,0,4,0,5,0,1,4,2,Katie,Diamond Creek,Midfielder,K.Loynes,"Loynes, K",Interchange,2017,19,Loynes,1986-03-23T00:00:00+10:00,168,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,3,HFF,2,0,0,9,1,33,2,0,5,1,1,1007017,0,0,18,56,0,8096,0,0,6,0,2,1,0,3,8,Tilly,St Kilda Sharks,Midfielder,T.Lucas-Rodd,"Lucas-Rodd, T",Half Forward Flank,2017,12,Lucas-Rodd,1996-04-18T00:00:00+10:00,160,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
