marksInside50,handballs,positionCode,clangers,hitoutsToAdvantage,penalty50sAgainst,disposals,goalAssists,kickEfficiency,kicksEffective,marksUncontested,tackles,freesFor,behinds,playerId,goals,inside50s,jumperNumber,disposalEfficiency,period,blocks,squadId,marks,hitouts,kicks,marksContested,possessionsContested,freesAgainst,clearances,kicksIneffective,possessionsUncontested,matchId,periodId
0,1,FF,1,0,0,4,0,67,2,1,1,0,0,296143,0,0,124,75,2,0,8096,2,0,3,1,3,0,0,1,1,100640101,2
0,2,RK,2,0,0,3,0,0,0,1,1,0,0,296158,0,1,105,33,2,0,8096,1,0,1,0,0,0,0,0,3,100640101,2
0,1,HFF,1,0,0,4,0,100,3,1,0,0,0,997662,0,0,42,100,2,0,8096,1,0,3,0,3,0,0,0,1,100640101,2
0,1,FB,1,0,0,4,0,67,2,0,0,0,0,997663,1,1,6,50,2,0,8096,1,0,3,1,3,1,0,1,1,100640101,2
0,1,EMERG,0,0,0,2,0,100,1,0,1,1,0,997664,0,0,104,50,2,0,8096,0,0,1,0,2,0,1,0,0,100640101,2
0,1,BP,2,0,0,3,0,0,0,0,0,0,0,997678,0,0,12,33,2,0,8096,0,0,2,0,2,1,1,1,1,100640101,2
0,3,HBF,0,0,0,4,0,100,1,1,0,0,0,997695,0,0,20,100,2,1,8096,1,0,1,0,1,0,0,0,3,100640101,2
0,1,INT,0,0,0,1,1,0,0,0,0,0,0,997715,0,0,22,100,2,0,8096,0,0,0,0,0,0,0,0,1,100640101,2
0,2,R,1,0,0,4,0,50,1,1,0,0,0,998154,0,1,52,75,2,0,8096,1,0,2,0,1,0,0,0,3,100640101,2
0,3,BP,2,0,0,7,0,75,3,1,0,0,0,1003020,0,0,4,86,2,0,8096,1,0,4,0,3,1,0,0,4,100640101,2
0,0,RR,2,0,0,0,0,0,0,0,1,0,0,1006666,0,0,50,0,2,1,8096,0,0,0,0,0,1,0,0,0,100640101,2
0,0,C,1,0,0,2,0,0,0,0,0,1,0,1006996,0,1,36,0,2,0,8096,1,0,2,1,2,1,0,2,1,100640101,2
0,3,FP,0,0,0,3,0,0,0,0,0,0,0,1007003,0,0,150,67,2,0,8096,0,2,0,0,3,0,0,0,0,100640101,2
0,0,HBF,0,0,0,3,0,67,2,0,0,0,0,1007012,0,1,28,67,2,0,8096,0,0,3,0,1,0,0,1,2,100640101,2
0,1,INT,0,0,0,2,0,0,0,0,0,0,0,1007016,0,0,6,0,2,0,8096,0,0,1,0,1,0,0,1,1,100640101,2
0,0,HFF,1,0,0,4,0,25,1,0,2,0,1,1007017,0,0,72,25,2,0,8096,0,0,4,0,1,0,0,2,4,100640101,2
0,0,INT,0,1,0,0,0,0,0,0,0,0,0,1007023,0,0,64,0,2,0,8096,0,3,0,0,0,0,0,0,0,100640101,2
0,0,FP,0,0,0,1,0,100,1,0,0,0,0,1007025,0,0,64,100,2,0,8096,0,0,1,0,0,0,0,0,1,100640101,2
0,2,CHB,0,0,0,3,0,0,0,0,1,1,0,1007026,0,0,18,67,2,0,8096,0,0,1,0,2,0,0,1,1,100640101,2
0,0,EMERG,0,0,0,0,0,0,0,0,0,0,0,1007133,0,0,27,0,2,0,8096,0,0,0,0,0,0,0,0,0,100640101,2
0,2,INT,0,0,0,3,0,100,1,0,0,0,0,1007135,0,0,69,100,2,0,8096,0,0,1,0,0,0,0,0,3,100640101,2
0,2,CHF,0,0,0,4,0,100,2,0,0,0,0,1007137,0,2,45,75,2,0,8096,0,0,2,0,2,0,1,0,2,100640101,2
0,0,FP,0,0,0,1,0,100,1,1,1,0,0,296154,0,1,86,100,2,0,8097,1,0,1,0,0,0,0,0,1,100640101,2
0,0,CHF,0,0,0,0,0,0,0,0,0,0,0,997672,0,0,23,0,2,0,8097,0,0,0,0,0,0,0,0,0,100640101,2
0,0,INT,2,0,0,2,0,50,1,1,0,0,0,997680,0,1,24,50,2,0,8097,1,0,2,0,1,0,0,0,1,100640101,2
0,2,FF,0,0,0,4,0,50,1,0,2,1,0,997683,0,2,114,25,2,0,8097,0,0,2,0,4,0,2,1,0,100640101,2
0,0,HFF,0,0,0,0,0,0,0,0,0,0,0,997688,0,0,50,0,2,0,8097,0,0,0,0,0,0,0,0,0,100640101,2
0,0,C,3,0,0,2,0,50,1,0,3,1,0,997729,0,0,40,50,2,0,8097,0,0,2,0,1,1,0,0,1,100640101,2
0,1,BP,1,0,0,3,0,50,1,1,1,0,0,998029,0,1,6,33,2,0,8097,1,0,2,0,2,0,1,0,1,100640101,2
0,1,EMERG,0,0,0,1,0,0,0,0,1,0,0,998048,0,0,132,0,2,1,8097,0,0,0,0,1,0,0,0,0,100640101,2
0,0,HBF,1,0,0,1,0,0,0,0,1,0,0,998158,0,0,51,0,2,0,8097,0,0,1,0,2,0,0,1,0,100640101,2
0,2,INT,0,0,0,6,0,75,3,1,0,1,0,998159,0,0,4,67,2,0,8097,1,0,4,0,4,0,1,1,2,100640101,2
0,1,RR,0,0,0,1,0,0,0,0,2,0,0,998164,0,0,84,100,2,0,8097,0,0,0,0,1,0,0,0,0,100640101,2
0,0,R,0,0,0,2,0,100,2,1,1,0,0,1001684,0,2,40,100,2,0,8097,1,0,2,0,0,0,0,0,2,100640101,2
0,1,RK,0,1,0,2,0,100,1,1,0,0,0,1001686,0,0,300,50,2,0,8097,1,5,1,0,1,0,0,0,1,100640101,2
0,1,FB,0,0,0,2,0,100,1,0,0,0,0,1004400,0,0,12,100,2,0,8097,0,0,1,0,1,0,0,0,1,100640101,2
0,1,BP,0,0,0,1,0,0,0,0,1,1,0,1004401,0,0,15,100,2,0,8097,0,0,0,0,1,0,0,0,1,100640101,2
