period,scorepoints,periodSeconds,squadId,playerId,scoreName,matchId,scoreFlowId
1,1,332,8097,998158,behind,100640101,100640101_1
1,6,458,8097,296154,goal,100640101,100640101_1
1,6,581,8096,997663,goal,100640101,100640101_1
1,1,739,8097,998159,behind,100640101,100640101_1
1,6,789,8096,998154,goal,100640101,100640101_1
1,6,991,8096,997663,goal,100640101,100640101_1
2,1,304,8096,1007017,behind,100640101,100640101_1
2,6,685,8096,997663,goal,100640101,100640101_1
2,1,790,8097,0,rushed,100640101,100640101_1
2,1,857,8097,1005864,behind,100640101,100640101_1
3,1,154,8097,997672,behind,100640101,100640101_1
3,6,643,8096,1003020,goal,100640101,100640101_1
3,6,909,8096,997663,goal,100640101,100640101_1
4,1,323,8096,0,rushed,100640101,100640101_1
4,1,618,8096,998154,behind,100640101,100640101_1
4,1,718,8096,997663,behind,100640101,100640101_1
4,6,892,8096,296158,goal,100640101,100640101_1
