rebounds,turnoverHeld,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,secondPhaseReceive,badPasses,breaks,blocks,badHands,missedGoalTurnover,squadId,deflectionPossessionGain,possessionChanges,startingPositionCode,goalAttempts,goalAttempts3,goalAttempts2,contactPenalties,goalAttempts1,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,goals1,currentPositionCode,gainToGoalPerc,intercepts,goals3,goals2,shortDisplayName,firstname,surname,displayName,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
1,0,0,0,1,1,0,0,17,7,0,0,2,0,0,0,3,1029361,14,1,3,0,0,0,0,0,9527,0,1,GS,21,1,5,0,15,4,21,2,1,0,14,GS,0,0,0,0,"Matuku, T",Thomson,Matuku,T.Matuku,New Zealand,9527,9528,England,1,12055,5,120550103
0,0,0,5,0,1,0,0,10,5,0,0,1,0,4,0,2,1024725,7,0,1,1,0,0,0,0,9527,0,1,GA,12,2,3,5,7,4,15,1,1,0,6,GA,0,0,0,1,"Faitaua-Nanai, A",Amosa,Faitaua-Nanai,A.Faitaua-Nanai,New Zealand,9527,9528,England,1,12055,5,120550103
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,1021429,0,0,2,0,0,0,0,0,9527,0,0,C,0,0,0,0,0,4,8,5,0,1,0,-,0,0,0,0,"Grimmer, N",Nick,Grimmer,N.Grimmer,New Zealand,9527,9528,England,1,12055,5,120550103
1,0,0,1,2,1,1,2,0,0,0,0,0,0,4,0,1,1029354,0,0,0,0,0,0,0,0,9527,0,1,GD,0,0,0,1,0,4,13,1,0,1,0,GD,0,1,0,0,"Owen, K",Kyle,Owen,K.Owen,New Zealand,9527,9528,England,1,12055,5,120550103
2,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,1021431,0,0,0,1,0,0,0,0,9527,1,1,GK,0,0,0,1,0,4,13,0,1,0,0,GK,0,0,0,0,"Apisai, T",Timothy,Apisai,T.Apisai,New Zealand,9527,9528,England,1,12055,5,120550103
0,0,0,0,0,1,1,1,0,0,0,0,5,0,0,0,9,1030636,0,0,1,0,0,0,0,0,9527,0,1,-,0,0,0,0,0,4,7,8,0,1,0,C,0,1,0,0,"Hynes, T",Te Matahiapo,Hynes,T.Hynes,New Zealand,9527,9528,England,1,12055,5,120550103
0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,1,0,1030637,0,0,0,0,0,2,0,0,9527,1,0,-,0,0,0,1,0,4,10,0,0,1,0,-,0,3,0,0,"Mundy, M",Michael,Mundy,M.Mundy,New Zealand,9527,9528,England,1,12055,5,120550103
3,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,1029355,0,0,1,0,0,0,0,0,9527,0,0,-,0,0,0,1,0,4,10,0,0,1,0,-,0,0,0,0,"Swartz, S",Stefan,Swartz,S.Swartz,New Zealand,9527,9528,England,1,12055,5,120550103
0,0,0,0,1,1,1,0,0,0,0,0,6,0,0,0,9,1030638,0,0,2,0,0,0,0,0,9527,0,1,-,0,0,0,0,0,4,7,8,0,0,0,-,0,0,0,0,"Vercoe, E",Eriata,Vercoe,E.Vercoe,New Zealand,9527,9528,England,1,12055,5,120550103
2,0,0,0,1,1,0,0,9,1,0,0,4,0,3,0,4,1029481,5,0,1,1,0,0,0,0,9527,0,1,-,6,0,2,0,4,4,10,4,1,1,4,-,0,0,0,1,"Vercoe, T",Te Reiwhati,Vercoe,T.Vercoe,New Zealand,9527,9528,England,1,12055,5,120550103
0,0,0,1,0,2,0,0,19,6,0,0,1,0,0,0,3,1030571,6,0,3,0,0,0,0,0,9528,0,2,GS,12,5,7,1,0,4,22,2,2,1,0,GA,0,0,2,4,"Owen, L",Luke,Owen,L.Owen,England,9527,9528,New Zealand,1,12055,5,120550103
0,0,0,1,0,2,1,0,0,3,0,0,0,0,3,1,1,1030570,0,0,1,1,0,0,0,0,9528,0,2,GA,3,0,1,0,2,2,10,1,1,0,0,-,0,0,0,0,"Oliphant, R",Ross,Oliphant,R.Oliphant,England,9527,9528,New Zealand,1,12055,5,120550103
1,1,0,7,4,5,1,4,0,0,0,1,0,0,9,2,2,1030567,0,0,4,0,0,0,2,0,9528,1,5,C,0,0,0,5,0,4,22,2,4,0,0,GD,0,2,0,0,"McClelland, J",James,McClelland,J.McClelland,England,9527,9528,New Zealand,1,12055,5,120550103
1,1,0,6,1,5,0,2,1,2,0,0,2,0,11,1,3,1030568,1,0,2,3,0,0,0,0,9528,0,5,GD,3,0,2,5,1,4,22,3,5,2,1,GK,0,1,0,0,"Nicholson, J",Jamal,Nicholson,J.Nicholson,England,9527,9528,New Zealand,1,12055,5,120550103
0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1030561,0,0,1,0,0,0,0,0,9528,0,0,GK,0,0,0,4,0,3,11,0,0,0,0,-,0,0,0,0,"Allan, R",Ryan,Allan,R.Allan,England,9527,9528,New Zealand,1,12055,5,120550103
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030562,0,0,0,0,0,0,0,0,9528,0,0,-,0,0,0,0,0,1,0,0,0,0,0,-,0,0,0,0,"Firminger, J",James,Firminger,J.Firminger,England,9527,9528,New Zealand,1,12055,5,120550103
0,0,0,3,0,4,3,0,0,0,0,0,3,0,0,0,8,1030564,0,0,4,1,0,0,0,0,9528,0,4,-,0,0,0,3,0,4,17,5,1,1,0,C,0,0,0,0,"Green, C",Chris,Green,C.Green,England,9527,9528,New Zealand,1,12055,5,120550103
0,1,0,1,0,2,0,0,2,0,0,0,1,0,0,0,2,1030565,2,0,2,0,0,0,1,0,9528,0,2,-,2,0,0,1,2,3,9,2,2,0,2,GS,0,0,0,0,"Keeling, L",Lewis,Keeling,L.Keeling,England,9527,9528,New Zealand,1,12055,5,120550103
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1030572,0,0,1,0,0,0,0,0,9528,0,0,-,0,0,0,0,0,1,3,1,0,0,0,-,0,0,0,0,"Speck, K",Klem,Speck,K.Speck,England,9527,9528,New Zealand,1,12055,5,120550103
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030574,0,0,0,0,0,0,0,0,9528,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,"Williams, D",Damian,Williams,D.Williams,England,9527,9528,New Zealand,1,12055,5,120550103
