rebounds,turnoverHeld,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,secondPhaseReceive,badPasses,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,goalAttempts3,goalAttempts2,contactPenalties,goalAttempts1,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,goals1,currentPositionCode,gainToGoalPerc,intercepts,goals3,goals2,matchId,periodId
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1030638,0,0,0,0,2,0,0,0,0,9527,I,1,0,0,0,0,0,1,1,1,0,0,0,I,0,0,0,0,120550103,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030574,0,0,0,0,2,0,0,0,0,9528,I,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,0,120550103,2
0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1030637,0,0,0,0,2,0,0,0,0,9527,GK,0,0,0,0,0,0,1,2,0,0,0,0,I,0,2,0,0,120550103,2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1030636,0,0,1,0,2,0,0,0,0,9527,I,0,0,0,0,0,0,1,1,1,0,0,0,C,0,0,0,0,120550103,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030572,0,0,0,0,2,0,0,0,0,9528,I,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,0,120550103,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029355,0,0,0,0,2,0,0,0,0,9527,GD,0,0,0,0,0,0,1,3,0,0,0,0,I,0,0,0,0,120550103,2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1030571,0,0,0,0,2,0,0,0,0,9528,GA,0,1,1,0,0,0,1,6,0,0,1,0,GA,0,0,0,0,120550103,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1029354,0,0,0,0,2,0,0,0,0,9527,I,0,0,0,0,0,0,1,2,1,0,0,0,GD,0,0,0,0,120550103,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030570,0,0,0,0,2,0,0,0,0,9528,I,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,0,120550103,2
0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,1,1029481,2,0,0,0,2,0,0,0,0,9527,I,0,2,0,1,0,1,1,2,1,0,1,1,I,0,0,0,1,120550103,2
0,0,0,2,0,2,0,1,0,0,0,0,0,0,5,0,0,1030568,0,0,0,1,2,0,0,0,0,9528,GD,2,0,0,0,2,0,1,6,0,2,0,0,GD,0,1,0,0,120550103,2
1,0,0,3,3,1,0,2,0,0,0,1,0,0,0,1,0,1030567,0,0,0,0,2,0,0,1,0,9528,GK,1,0,0,0,2,0,1,6,0,1,0,0,GK,0,0,0,0,120550103,2
0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,1030565,2,0,1,0,2,0,0,0,0,9528,GS,1,2,0,0,1,2,1,5,1,1,0,2,I,0,0,0,0,120550103,2
0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,1030564,0,0,3,0,2,0,0,0,0,9528,C,2,0,0,0,1,0,1,6,0,0,0,0,C,0,0,0,0,120550103,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030562,0,0,0,0,2,0,0,0,0,9528,I,0,0,0,0,0,0,0,0,0,0,0,0,GS,0,0,0,0,120550103,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030561,0,0,0,0,2,0,0,0,0,9528,I,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,0,120550103,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1021431,0,0,0,0,2,0,0,0,0,9527,I,0,0,0,0,1,0,1,3,0,0,0,0,GK,0,0,0,0,120550103,2
0,0,0,2,0,0,0,0,1,2,0,0,1,0,2,0,1,1024725,1,0,0,0,2,0,0,0,0,9527,GA,0,3,1,1,2,1,1,3,1,0,0,1,GA,0,0,0,0,120550103,2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1021429,0,0,1,0,2,0,0,0,0,9527,C,0,0,0,0,0,0,1,2,2,0,0,0,I,0,0,0,0,120550103,2
0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,1,1029361,3,0,1,0,2,0,0,0,0,9527,GS,0,4,0,0,0,4,1,6,1,0,0,3,GS,0,0,0,0,120550103,2
