period,distanceCode,scorepoints,periodSeconds,positionCode,squadId,playerId,scoreName,matchId,scoreFlowId
1,2,0,76,2,881,80100,3pt Miss,100130203,100130203_1
1,1,2,111,1,880,80072,2pt Goal,100130203,100130203_1
1,1,0,130,2,881,80100,2pt Miss,100130203,100130203_1
1,1,2,167,1,880,80052,2pt Goal,100130203,100130203_1
1,0,1,189,1,881,80710,1pt Goal,100130203,100130203_1
1,0,1,207,2,880,80067,1pt Goal,100130203,100130203_1
1,0,1,230,0,881,80100,1pt Goal,100130203,100130203_1
1,1,0,255,2,880,80067,2pt Miss,100130203,100130203_1
1,1,2,288,2,881,80100,2pt Goal,100130203,100130203_1
1,0,0,308,2,880,80067,1pt Miss,100130203,100130203_1
1,0,1,327,1,881,80710,1pt Goal,100130203,100130203_1
1,1,0,361,1,880,80052,2pt Miss,100130203,100130203_1
2,2,6,22,2,881,80100,3pt Goal (PP),100130203,100130203_1
2,1,0,36,1,880,993463,2pt Miss,100130203,100130203_1
2,1,0,46,0,880,80072,2pt Miss,100130203,100130203_1
2,2,6,77,2,881,80100,3pt Goal (PP),100130203,100130203_1
2,0,1,97,2,880,80072,1pt Goal,100130203,100130203_1
2,0,2,167,2,881,80710,1pt Goal (PP),100130203,100130203_1
2,0,1,198,0,880,80072,1pt Goal,100130203,100130203_1
2,0,1,216,0,880,993463,1pt Goal,100130203,100130203_1
2,2,0,241,2,881,80100,3pt Miss,100130203,100130203_1
2,0,1,261,1,880,993463,1pt Goal,100130203,100130203_1
2,1,4,278,1,881,80287,2pt Goal (PP),100130203,100130203_1
2,1,2,322,2,880,80072,2pt Goal,100130203,100130203_1
2,2,0,335,1,881,80100,3pt Miss,100130203,100130203_1
2,1,0,358,0,880,80072,2pt Miss,100130203,100130203_1
2,1,0,363,1,880,80072,2pt Miss,100130203,100130203_1
3,1,0,25,2,880,80067,2pt Miss,100130203,100130203_1
3,0,1,31,0,880,80072,1pt Goal,100130203,100130203_1
3,1,0,58,1,881,80287,2pt Miss,100130203,100130203_1
3,0,1,81,2,880,80067,1pt Goal,100130203,100130203_1
3,1,0,104,2,881,80287,2pt Miss,100130203,100130203_1
3,1,2,112,2,881,80287,2pt Goal,100130203,100130203_1
3,1,0,139,0,880,80072,2pt Miss,100130203,100130203_1
3,0,0,145,0,880,80067,1pt Miss,100130203,100130203_1
3,0,1,168,0,881,80710,1pt Goal,100130203,100130203_1
3,1,0,206,2,881,80100,2pt Miss,100130203,100130203_1
3,1,0,229,2,880,80052,2pt Miss,100130203,100130203_1
3,0,1,236,2,880,993463,1pt Goal,100130203,100130203_1
3,2,3,284,1,881,80100,3pt Goal,100130203,100130203_1
3,1,0,310,2,880,80052,2pt Miss,100130203,100130203_1
3,2,0,321,0,881,80100,3pt Miss,100130203,100130203_1
3,0,1,324,1,881,80710,1pt Goal,100130203,100130203_1
3,1,2,338,0,880,993463,2pt Goal,100130203,100130203_1
3,2,3,369,0,881,80100,3pt Goal,100130203,100130203_1
4,2,0,23,1,881,80100,3pt Miss,100130203,100130203_1
4,1,0,44,0,880,80067,2pt Miss,100130203,100130203_1
4,0,1,61,2,881,80100,1pt Goal,100130203,100130203_1
4,1,2,116,2,881,80100,2pt Goal,100130203,100130203_1
4,2,0,149,0,880,80052,3pt Miss,100130203,100130203_1
4,1,2,183,2,881,80287,2pt Goal,100130203,100130203_1
4,2,3,220,1,881,80100,3pt Goal,100130203,100130203_1
4,2,0,236,0,880,80072,3pt Miss,100130203,100130203_1
4,2,0,264,2,881,80100,3pt Miss,100130203,100130203_1
4,2,0,298,1,880,80072,3pt Miss,100130203,100130203_1
4,2,0,308,0,880,80052,3pt Miss,100130203,100130203_1
4,2,0,316,2,880,80072,3pt Miss,100130203,100130203_1
4,2,0,340,1,880,80072,3pt Miss,100130203,100130203_1
4,2,0,348,0,880,80052,3pt Miss,100130203,100130203_1
