tries,runsDummyHalfMetres,sinBins,onReports,runsHitupMetres,tryAssists,penaltyGoalAttempts,points,conversionsUnsuccessful,possessions,tackleds,kickMetres,kicksGeneralPlay,tackles,tacklesIneffective,handlingErrors,sentOffs,runsDummyHalf,squadId,offloads,bombKicksCaught,runsKickReturn,runsHitup,fieldGoalAttempts,conversionAttempts,penaltiesConceded,postContactMetres,position,errors,goalLineDropouts,fortyTwenty,conversions,tryDebits,missedTackles,penaltyGoalsUnsuccessful,kicksCaught,metresGained,lineBreaks,tackleBreaks,trySaves,passes,runMetres,fieldGoalsUnsuccessful,lineBreakAssists,runsNormalMetres,runsNormal,runsKickReturnMetres,playerId,jumperNumber,fieldGoals,penaltyGoals,runs,shortDisplayName,firstname,surname,displayName,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
0,0,0,0,0,1,0,0,0,23,9,0,0,9,0,0,0,1,340,4,3,1,2,0,0,0,0,Fullback,1,1,0,0,0,2,0,4,0,0,0,0,9,0,0,1,0,5,0,998416,1,0,0,9,"Mitchell, L",Latrell,Mitchell,L.Mitchell,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
2,0,0,0,0,0,0,8,0,17,10,0,0,8,0,0,0,0,340,0,0,1,8,0,0,0,0,Wing,1,0,0,0,0,0,0,1,0,1,2,0,5,0,0,0,0,2,0,995794,2,0,0,11,"Addo-Carr, J",Josh,Addo-Carr,J.Addo-Carr,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
1,0,0,0,0,0,0,4,0,17,8,0,0,8,0,1,0,0,340,0,0,2,3,0,0,0,0,Centre,1,0,0,0,0,0,0,1,0,0,3,0,7,0,0,0,0,2,0,1019546,3,0,0,7,"Tabuai-Fidow, H",Hamiso,Tabuai-Fidow,H.Tabuai-Fidow,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,16,6,0,0,13,0,0,0,1,340,1,0,0,3,0,0,3,1,Centre,2,0,0,0,0,2,0,0,12,0,2,0,7,12,0,0,12,4,0,1012925,4,0,0,8,"Staggs, K",Kotoni,Staggs,K.Staggs,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
1,0,0,0,0,0,0,4,0,7,5,0,0,3,1,0,0,0,340,0,0,0,1,0,0,0,0,Wing,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,0,1025363,5,0,0,6,"Khan-Pereira, A",Alofiana,Khan-Pereira,A.Khan-Pereira,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,2,0,0,0,37,1,0,9,8,0,0,0,0,340,0,0,0,0,0,0,0,0,Five-Eighth,1,0,0,0,0,4,0,0,0,0,1,0,26,0,0,0,0,5,0,1019587,6,0,0,5,"Trindall, B",Braydon,Trindall,B.Trindall,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,1,0,6,1,54,7,0,9,27,0,0,0,0,340,2,0,0,0,0,4,0,0,Halfback,1,0,0,3,0,0,0,1,0,0,1,0,35,0,0,1,0,9,0,997956,7,0,0,9,"Hynes, N",Nicho,Hynes,N.Hynes,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,15,14,0,0,27,0,0,0,0,340,0,0,1,12,0,0,0,0,Prop,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1001180,8,0,0,14,"Mitchell, S",Shaquai,Mitchell,S.Mitchell,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,49,1,0,0,50,0,0,0,1,340,0,0,0,0,0,0,1,0,Hooker,1,0,0,0,0,5,0,0,0,0,0,0,47,0,0,0,0,0,0,991545,9,0,0,1,"Moseley, K",Kierran,Moseley,K.Moseley,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,15,11,0,0,24,1,0,0,0,340,2,0,3,10,0,0,2,0,Prop,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,999894,10,0,0,13,"Kerr, J",Josh,Kerr,J.Kerr,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,10,0,0,0,0,10,6,0,0,27,0,0,0,0,340,2,0,0,6,0,0,0,2,Second Row,0,0,0,0,0,2,0,0,10,0,2,0,2,10,0,0,0,2,0,991267,11,0,0,8,"Elliott, A",Adam,Elliott,A.Elliott,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,7,4,0,1,39,1,0,0,0,340,0,0,0,3,0,0,2,0,Second Row,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,1011036,12,0,0,5,"Curran, J",Josh,Curran,J.Curran,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,14,8,0,0,39,1,0,0,0,340,0,0,0,8,0,0,0,0,Lock,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,1022684,13,0,0,8,"Hopgood, J",J'maine,Hopgood,J.Hopgood,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,8,7,0,0,25,0,0,0,0,340,0,0,1,5,0,0,0,0,Interchange,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1031045,14,0,0,7,"Butler, B",Bailey,Butler,B.Butler,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,340,2,0,0,5,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,5,0,995895,15,0,0,10,"Kelly, B",Brian,Kelly,B.Kelly,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,10,6,0,0,16,1,0,0,0,340,0,0,0,5,0,0,0,0,Interchange,0,0,0,0,0,4,0,0,0,0,2,0,4,0,0,0,0,1,0,1033236,16,0,0,6,"Puru, H",Hohepa,Puru,H.Puru,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,38,2,0,0,19,0,0,0,1,340,0,0,0,0,0,0,0,0,Interchange,0,0,0,0,0,4,0,0,0,0,0,1,36,0,0,0,0,1,0,1024145,17,0,0,2,"Biondi-Odo, B",Bailey,Biondi-Odo,B.Biondi-Odo,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,1,1,0,0,22,0,0,0,0,340,0,0,0,1,0,0,0,0,Interchange,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1028650,18,0,0,1,"Fulton, Z",Zac,Fulton,Z.Fulton,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,11,8,0,0,31,0,0,0,0,340,1,0,0,8,0,0,0,0,Interchange,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,991509,19,0,0,9,"Grant, J",Jordan,Grant,J.Grant,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,6,2,0,0,5,1,0,0,0,340,0,0,1,1,0,0,1,0,Interchange,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,1000014,20,0,0,3,"Laybutt, K",Kyle,Laybutt,K.Laybutt,Indigenous All-Stars,340,8566,Maori All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,17,13,0,1,1,1,0,0,0,8566,1,0,2,6,0,0,0,0,Fullback,3,0,0,0,1,1,0,3,0,0,1,0,2,0,0,0,0,5,0,1011025,1,0,0,13,"Arthars, J",Jesse,Arthars,J.Arthars,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,8566,0,0,1,1,0,0,0,0,Wing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1025397,2,0,0,2,"Fifita, J",Jojo,Fifita,J.Fifita,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
