tries,runsDummyHalfMetres,sinBins,onReports,runsHitupMetres,tryAssists,ineffectiveTackles,penaltyGoalAttempts,conversionsUnsuccessful,score,possessions,tackleds,kickMetres,kicksGeneralPlay,tackles,incompleteSets,tacklesIneffective,period,handlingErrors,sentOffs,runsDummyHalf,squadId,offloads,bombKicksCaught,runsKickReturn,runsHitup,fieldGoalAttempts,conversionAttempts,penaltiesConceded,tacklesMissed,postContactMetres,position,errors,goalLineDropouts,fortyTwenty,conversions,missedTackles,kicksCaught,metresGained,lineBreaks,tackleBreaks,trySaves,passes,runMetres,lineBreakAssists,runsNormalMetres,scrumWins,runsNormal,runsKickReturnMetres,playerId,jumperNumber,fieldGoals,penaltyGoals,runs,matchId,periodId
0,0,0,0,0,1,0,0,0,0,12,3,0,0,4,1,0,1,0,0,0,340,1,2,0,1,0,0,0,2,0,Fullback,1,0,0,0,2,2,0,0,0,0,7,0,1,0,0,3,0,998416,1,0,0,4,124570101,1
2,0,0,0,0,0,0,0,0,8,6,4,0,0,3,0,0,1,0,0,0,340,0,0,1,3,0,0,0,0,0,Wing,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,995794,2,0,0,5,124570101,1
1,0,0,0,0,0,0,0,0,4,7,3,0,0,3,1,0,1,1,0,0,340,0,0,0,1,0,0,0,0,0,Centre,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1019546,3,0,0,2,124570101,1
0,0,0,0,0,0,0,0,0,0,8,1,0,0,10,1,0,1,0,0,0,340,1,0,0,1,0,0,2,1,1,Centre,1,0,0,0,1,0,12,0,0,0,5,12,0,12,1,2,0,1012925,4,0,0,3,124570101,1
0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,1,0,0,0,340,0,0,0,0,0,0,0,0,0,Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1025363,5,0,0,3,124570101,1
0,0,0,0,0,2,0,0,0,0,20,0,0,5,5,0,0,1,0,0,0,340,0,0,0,0,0,0,0,2,0,Five-Eighth,0,0,0,0,2,0,0,0,0,0,15,0,0,0,1,2,0,1019587,6,0,0,2,124570101,1
0,0,0,0,0,0,0,0,1,4,23,3,0,4,14,0,0,1,0,0,0,340,1,0,0,0,0,3,0,0,0,Halfback,0,0,0,2,0,0,0,0,1,0,15,0,0,0,0,5,0,997956,7,0,0,5,124570101,1
0,0,0,0,0,0,0,0,0,0,10,9,0,0,10,1,0,1,0,0,0,340,0,0,0,8,0,0,0,0,0,Prop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1001180,8,0,0,9,124570101,1
0,0,0,0,0,0,0,0,0,0,20,1,0,0,24,1,0,1,0,0,1,340,0,0,0,0,0,0,1,3,0,Hooker,1,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,991545,9,0,0,1,124570101,1
0,0,0,0,0,0,1,0,0,0,6,5,0,0,13,1,1,1,0,0,0,340,0,0,2,3,0,0,2,0,0,Prop,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999894,10,0,0,5,124570101,1
0,0,0,0,10,0,0,0,0,0,3,2,0,0,15,0,0,1,0,0,0,340,0,0,0,3,0,0,0,2,2,Second Row,0,0,0,0,2,0,10,0,2,0,1,10,0,0,0,0,0,991267,11,0,0,3,124570101,1
0,0,0,0,0,0,0,0,0,0,3,3,0,0,19,0,0,1,0,0,0,340,0,0,0,3,0,0,1,1,0,Second Row,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1011036,12,0,0,3,124570101,1
