period,scorepoints,periodSeconds,squadId,playerId,scoreName,matchId,scoreFlowId
1,4,239,8566,991497,try,124570101,124570101_1
1,2,333,8566,991256,conversion,124570101,124570101_1
1,4,404,340,995794,try,124570101,124570101_1
1,0,503,340,997956,conversion miss,124570101,124570101_1
1,4,1033,340,995794,try,124570101,124570101_1
1,2,1115,340,997956,conversion,124570101,124570101_1
1,2,1200,8566,991256,penalty goal,124570101,124570101_1
1,4,1769,340,1019546,try,124570101,124570101_1
1,2,1863,340,997956,conversion,124570101,124570101_1
2,4,1813,340,1025363,try,124570101,124570101_1
2,2,1903,340,997956,conversion,124570101,124570101_1
2,4,2388,8566,1024167,try,124570101,124570101_1
2,2,2400,8566,31667,conversion,124570101,124570101_1
