tries,runsDummyHalfMetres,sinBins,onReports,runsHitupMetres,tryAssists,penaltyGoalAttempts,points,conversionsUnsuccessful,possessions,tackleds,kickMetres,kicksGeneralPlay,tackles,tacklesIneffective,handlingErrors,sentOffs,runsDummyHalf,squadId,offloads,bombKicksCaught,runsKickReturn,runsHitup,fieldGoalAttempts,conversionAttempts,penaltiesConceded,postContactMetres,position,errors,goalLineDropouts,fortyTwenty,conversions,tryDebits,missedTackles,penaltyGoalsUnsuccessful,kicksCaught,metresGained,lineBreaks,tackleBreaks,trySaves,passes,runMetres,fieldGoalsUnsuccessful,lineBreakAssists,runsNormalMetres,runsNormal,runsKickReturnMetres,playerId,jumperNumber,fieldGoals,penaltyGoals,runs,shortDisplayName,firstname,surname,displayName,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
0,0,0,0,0,0,0,0,0,20,13,0,1,6,0,0,0,4,9269,0,1,4,0,0,0,0,0,Fullback,3,0,0,0,0,1,0,2,0,2,5,0,4,0,0,0,0,4,0,1025340,1,0,0,12,"Pelite, E",Evania,Pelite,E.Pelite,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,15,9,0,1,5,0,0,0,5,9269,0,0,0,0,0,0,0,0,Wing,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,3,0,1025346,2,0,0,8,"Brown, K",Karina,Brown,K.Brown,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
1,0,0,0,0,0,0,4,0,10,6,0,1,10,1,0,0,2,9269,1,0,0,2,0,0,0,0,Centre,2,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,4,0,1025355,4,0,0,8,"Raftstrand-Smith, T",Tiana,Raftstrand-Smith,T.Raftstrand-Smith,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,1,9269,0,0,1,0,0,0,0,0,Wing,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1025345,5,0,0,2,"Faifua, J",Jetaya,Faifua,J.Faifua,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,31,3,0,5,21,0,0,0,0,9269,0,0,0,0,0,0,1,0,Five-Eighth,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,4,0,1025342,6,0,0,4,"Griffin, G",Grace,Griffin,G.Griffin,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,1,0,0,0,22,1,0,7,11,0,0,0,0,9269,0,0,0,0,0,0,0,0,Halfback,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,1,0,2,0,1025348,7,0,0,2,"Breayley-Nati, K",Kimiora,Breayley-Nati,K.Breayley-Nati,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
1,0,0,0,0,0,0,4,0,14,10,0,0,24,2,0,0,0,9269,0,0,0,10,0,0,1,0,Prop,1,0,0,0,0,1,0,0,0,1,5,0,2,0,0,0,0,3,0,1025352,8,0,0,13,"Mato, S",Shannon,Mato,S.Mato,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,50,2,0,0,23,1,0,0,2,9269,0,0,0,0,0,0,0,0,Hooker,1,0,0,0,0,5,0,0,0,0,0,0,48,0,0,0,0,1,0,1025336,9,0,0,3,"Breayley-Nati, B",Brittany,Breayley-Nati,B.Breayley-Nati,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,4,0,10,6,0,0,19,1,0,0,0,9269,1,0,2,4,0,2,0,0,Prop,2,0,0,2,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,1025335,10,0,0,7,"Clark, B",Brianna,Clark,B.Clark,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,9,5,0,0,25,1,0,0,0,9269,0,0,0,4,0,0,1,0,Second Row,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,1025356,11,0,0,5,"Canfield, Z",Zara,Canfield,Z.Canfield,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,1,0,0,0,0,0,14,10,0,0,22,1,0,0,0,9269,0,0,0,6,0,0,1,0,Second Row,1,0,0,0,0,2,0,0,0,0,4,0,3,0,0,0,0,3,0,1025354,12,0,0,9,"Gray, T",Tazmin,Gray,T.Gray,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,1,0,0,0,24,6,0,0,25,1,0,0,3,9269,2,0,0,5,0,0,1,0,Interchange,1,0,0,0,0,3,0,0,0,0,4,0,15,0,0,1,0,1,0,1025339,13,0,0,9,"Brill, D",Destiny,Brill,D.Brill,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,17,7,0,0,23,1,0,0,0,9269,0,0,0,4,0,0,0,0,Lock,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,1025341,14,0,0,6,"Hale, G",Georgia,Hale,G.Hale,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,1,0,0,0,0,0,8,7,0,0,18,1,0,0,0,9269,0,0,0,6,0,0,1,0,Interchange,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1025344,15,0,0,7,"Elliston, J",Jessika,Elliston,J.Elliston,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,5,2,0,0,21,1,0,0,0,9269,2,0,1,4,0,0,0,0,Interchange,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1025353,16,0,0,5,"Hancock, S",Stephanie,Hancock,S.Hancock,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
0,0,0,0,0,0,0,0,0,2,2,0,0,12,0,0,0,0,9269,0,0,0,1,0,0,0,0,Interchange,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,1025351,17,0,0,2,"Power, S",Shaniah,Power,S.Power,Gold Coast Titans,9266,9269,St George-Illawarra Dragons,1,11715,4,117150101
