tries,runsDummyHalfMetres,sinBins,onReports,runsHitupMetres,tryAssists,ineffectiveTackles,penaltyGoalAttempts,conversionsUnsuccessful,score,possessions,tackleds,kickMetres,kicksGeneralPlay,tackles,incompleteSets,tacklesIneffective,period,handlingErrors,sentOffs,runsDummyHalf,squadId,offloads,bombKicksCaught,runsKickReturn,runsHitup,fieldGoalAttempts,conversionAttempts,penaltiesConceded,tacklesMissed,postContactMetres,position,errors,goalLineDropouts,fortyTwenty,conversions,missedTackles,kicksCaught,metresGained,lineBreaks,tackleBreaks,trySaves,passes,runMetres,lineBreakAssists,runsNormalMetres,scrumWins,runsNormal,runsKickReturnMetres,playerId,jumperNumber,fieldGoals,penaltyGoals,runs,matchId,periodId
0,0,0,0,0,0,0,0,0,0,9,6,0,1,3,1,0,2,0,0,4,9269,0,0,0,0,0,0,0,0,0,Fullback,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1025340,1,0,0,5,117150101,2
0,0,0,0,0,0,0,0,0,0,10,5,0,1,2,0,0,2,0,0,2,9269,0,0,0,0,0,0,0,0,0,Wing,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1025346,2,0,0,4,117150101,2
1,0,0,0,0,0,0,0,0,4,5,3,0,1,6,0,0,2,0,0,0,9269,0,0,0,1,0,0,0,2,0,Centre,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,3,0,1025355,4,0,0,4,117150101,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,9269,0,0,0,0,0,0,0,0,0,Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025345,5,0,0,0,117150101,2
0,0,0,0,0,0,0,0,0,0,14,2,0,3,9,0,0,2,0,0,0,9269,0,0,0,0,0,0,1,1,0,Five-Eighth,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,2,0,1025342,6,0,0,2,117150101,2
0,0,0,0,0,1,0,0,0,0,11,1,0,2,6,0,0,2,0,0,0,9269,0,0,0,0,0,0,0,3,0,Halfback,0,0,0,0,3,0,0,0,0,0,8,0,1,0,3,2,0,1025348,7,0,0,2,117150101,2
1,0,0,0,0,0,1,0,0,4,9,6,0,0,11,1,1,2,0,0,0,9269,0,0,0,6,0,0,0,1,0,Prop,1,0,0,0,1,0,0,1,5,0,1,0,0,0,0,2,0,1025352,8,0,0,8,117150101,2
0,0,0,0,0,0,0,0,0,0,11,1,0,0,3,0,0,2,0,0,1,9269,0,0,0,0,0,0,0,1,0,Hooker,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1025336,9,0,0,1,117150101,2
0,0,0,0,0,0,0,0,0,4,3,2,0,0,7,1,0,2,0,0,0,9269,0,0,2,0,0,2,0,0,0,Prop,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1025335,10,0,0,2,117150101,2
0,0,0,0,0,0,1,0,0,0,3,1,0,0,14,1,1,2,0,0,0,9269,0,0,0,0,0,0,0,2,0,Second Row,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1025356,11,0,0,1,117150101,2
0,0,0,1,0,0,0,0,0,0,8,5,0,0,8,0,0,2,0,0,0,9269,0,0,0,4,0,0,1,2,0,Second Row,0,0,0,0,2,0,0,0,3,0,3,0,0,0,0,1,0,1025354,12,0,0,5,117150101,2
0,0,0,0,0,1,0,0,0,0,19,3,0,0,18,0,0,2,0,0,3,9269,2,0,0,2,0,0,1,0,0,Interchange,0,0,0,0,0,0,0,0,3,0,14,0,1,0,0,0,0,1025339,13,0,0,5,117150101,2
0,0,0,0,0,0,0,0,0,0,9,3,0,0,6,0,0,2,0,0,0,9269,0,0,0,1,0,0,0,0,0,Lock,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,1025341,14,0,0,3,117150101,2
0,0,0,1,0,0,1,0,0,0,4,3,0,0,9,0,1,2,0,0,0,9269,0,0,0,2,0,0,1,0,0,Interchange,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1025344,15,0,0,3,117150101,2
0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,2,0,0,0,9269,1,0,1,1,0,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025353,16,0,0,2,117150101,2
0,0,0,0,0,0,0,0,0,0,2,2,0,0,12,0,0,2,0,0,0,9269,0,0,0,1,0,0,0,1,0,Interchange,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1025351,17,0,0,2,117150101,2
0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,2,0,0,1,9269,0,0,0,0,0,0,0,0,0,Centre,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1025349,18,0,0,2,117150101,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9269,0,0,0,0,0,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025234,19,0,0,0,117150101,2
0,0,0,0,0,0,0,0,0,0,13,7,0,2,2,1,0,2,0,0,0,9266,0,0,2,2,0,0,0,2,0,Fullback,1,0,0,0,2,0,0,0,3,0,3,0,0,0,0,5,0,1025257,1,0,0,9,117150101,2
1,0,0,0,0,0,0,0,0,4,5,2,0,0,1,0,0,2,0,0,1,9266,0,1,0,1,0,0,0,1,0,Wing,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1025273,2,0,0,2,117150101,2
0,0,0,0,0,0,0,0,0,0,7,4,0,0,7,1,0,2,0,0,0,9266,0,0,0,0,0,0,0,2,0,Centre,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,1025259,3,0,0,3,117150101,2
0,0,0,0,0,0,1,0,0,0,4,2,0,0,7,1,1,2,1,0,0,9266,0,0,0,0,0,0,0,0,0,Centre,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1025264,4,0,0,1,117150101,2
0,0,0,0,0,0,0,0,0,0,7,5,0,0,4,1,0,2,0,0,0,9266,0,0,0,5,0,0,0,1,0,Wing,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1025222,5,0,0,5,117150101,2
0,0,0,0,0,0,0,0,0,0,15,5,0,0,6,0,0,2,0,0,0,9266,0,0,1,0,0,0,0,1,0,Five-Eighth,0,0,0,0,1,1,0,0,1,0,10,0,0,0,4,5,0,1025272,6,0,0,6,117150101,2
0,0,0,0,0,0,1,0,0,4,19,1,0,3,3,1,1,2,0,0,0,9266,0,0,0,0,0,2,0,2,0,Halfback,1,0,0,2,2,0,0,0,2,0,14,0,0,0,0,5,0,1025266,7,0,0,5,117150101,2
0,0,0,0,0,1,0,0,0,0,4,3,0,0,3,0,0,2,0,0,0,9266,1,0,0,4,0,0,0,2,0,Prop,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1025256,8,0,0,4,117150101,2
0,0,0,0,0,0,2,0,0,0,9,4,0,0,10,0,2,2,0,0,0,9266,1,0,0,1,0,0,0,2,0,Hooker,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,5,0,1025262,9,0,0,6,117150101,2
0,0,0,0,0,0,1,0,0,0,5,4,0,0,4,1,1,2,0,0,0,9266,0,0,0,4,0,0,0,1,0,Prop,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1025263,10,0,0,4,117150101,2
0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,2,0,0,0,9266,0,0,1,1,0,0,0,0,0,Second Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1025271,11,0,0,3,117150101,2
0,0,0,0,0,0,1,0,0,0,7,5,0,0,11,1,1,2,0,0,0,9266,0,0,0,5,0,0,0,2,0,Second Row,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1025268,12,0,0,5,117150101,2
0,0,0,0,0,0,0,0,0,0,8,6,0,0,8,0,0,2,0,0,0,9266,0,0,0,6,0,0,0,1,0,Lock,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1025258,13,0,0,7,117150101,2
1,0,0,0,0,0,0,0,0,4,48,1,0,0,11,0,0,2,0,0,2,9266,0,0,0,0,0,0,0,5,0,Interchange,0,0,0,0,5,0,0,1,0,0,46,0,0,0,0,1,0,1025265,14,0,0,3,117150101,2
0,0,0,0,0,0,1,0,0,0,8,8,0,0,8,0,1,2,0,0,0,9266,0,0,1,5,0,0,0,1,0,Interchange,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1026835,15,0,0,8,117150101,2
0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,2,0,0,0,9266,0,0,0,1,0,0,1,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025274,16,0,0,1,117150101,2
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,9266,0,0,0,1,0,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025260,17,0,0,1,117150101,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9266,0,0,0,0,0,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025267,18,0,0,0,117150101,2
