rebounds,netPoints,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,goal_from_zone2,goal_from_zone1,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,attempt_from_zone2,centrePassReceives,obstructionPenalties,attempt_from_zone1,feeds,playerId,goals,offsides,badPasses,goal2,goal1,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,deflections,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,attempts2,attempts1,currentPositionCode,gainToGoalPerc,intercepts,matchId,periodId
0,3.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,993358,0,0,0,0,0,3,0,0,0,0,8118,GD,0,0,0,2,1,15,0,0,0,0,0,GD,0,0,113911404,3
0,13.5,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1001356,0,0,0,0,0,3,0,0,0,0,8118,WD,0,0,1,3,1,15,0,0,0,0,0,WD,0,1,113911404,3
0,18.0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,998408,0,0,0,0,0,3,0,0,0,0,810,C,1,0,0,2,1,15,5,1,1,0,0,C,0,0,113911404,3
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994215,0,0,0,0,0,3,0,0,0,0,810,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,3
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000231,0,0,0,0,0,3,0,0,0,0,810,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,3
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013638,0,0,0,0,0,3,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,3
1,12.0,0,0,0,1,1,2,0,0,4,1,0,0,3,0,1,7,0,3,3,1007298,3,0,0,1,2,3,1,0,0,0,810,GA,1,4,0,0,1,15,3,1,0,1,3,GA,0,0,113911404,3
0,25.0,0,0,0,0,0,5,0,0,5,1,0,0,5,0,1,6,0,5,5,1019169,5,0,0,0,5,3,0,0,0,0,8118,GA,0,6,0,0,1,15,5,0,0,1,5,GA,0,0,113911404,3
0,-6.5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1004510,0,0,0,0,0,3,0,0,0,0,810,I,1,0,1,1,1,9,0,0,0,0,0,GK,0,0,113911404,3
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013629,0,0,0,0,0,3,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,3
0,2.0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,991899,0,0,0,0,0,3,0,0,0,0,8118,GK,0,0,1,3,1,15,0,0,0,0,0,GK,0,0,113911404,3
0,14.5,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,80343,0,0,0,0,0,3,0,0,0,0,810,GK,0,0,2,2,1,15,0,0,1,0,0,I,0,0,113911404,3
0,-1.0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80534,0,0,1,0,0,3,0,0,0,0,810,WD,1,0,0,4,1,15,0,1,1,0,0,WD,0,0,113911404,3
1,32.0,0,0,0,0,1,14,0,0,16,1,0,0,1,0,2,0,0,14,1,80150,15,0,0,1,14,3,0,0,0,1,8118,GS,1,16,0,0,1,15,1,1,1,2,14,GS,0,0,113911404,3
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80470,0,0,0,0,0,3,0,0,0,0,8118,I,0,0,0,0,0,0,0,0,0,0,0,I,0,0,113911404,3
0,24.0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,7,1,0,9,80473,0,0,0,0,0,3,0,0,0,0,810,WA,0,0,0,1,1,15,9,0,0,0,0,WA,0,0,113911404,3
0,20.0,0,0,0,1,0,14,0,0,14,0,0,0,0,0,0,0,0,14,0,80826,14,0,1,0,14,3,0,0,0,0,810,GS,1,14,0,0,1,15,0,1,0,0,14,GS,0,0,113911404,3
0,10.5,0,3,1,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,80701,0,0,0,0,0,3,0,0,0,0,8118,C,2,0,1,3,1,15,7,0,0,0,0,C,0,0,113911404,3
0,11.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1014130,0,0,0,0,0,3,0,0,0,0,810,GD,0,0,1,0,1,5,0,0,1,0,0,GD,0,0,113911404,3
0,19.5,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,7,0,0,11,995217,0,0,0,0,0,3,0,0,1,0,8118,WA,1,0,0,0,1,15,8,1,1,0,0,WA,0,0,113911404,3
