rebounds,turnoverHeld,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,secondPhaseReceive,badPasses,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,currentPositionCode,gainToGoalPerc,intercepts,matchId,periodId
2,0,0,1,0,1,0,0,12,2,0,0,0,0,0,0,1,1030095,12,0,2,0,1,0,0,0,0,9490,-,1,14,1,1,14,0,1,0,GS,0,0,119960101,1
0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,1,1030574,0,0,1,0,1,0,0,0,2,9492,-,3,3,0,1,5,1,0,0,GA,0,0,119960101,1
0,1,0,3,0,2,1,1,0,0,0,0,3,0,0,0,4,1030573,0,0,1,0,1,0,0,0,0,9492,-,2,0,3,1,14,4,1,1,C,0,1,119960101,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030572,0,0,0,0,1,0,0,0,0,9492,-,0,0,0,0,0,0,0,0,I,0,0,119960101,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030571,0,0,0,0,1,0,0,0,0,9492,-,0,0,0,0,0,0,0,0,I,0,0,119960101,1
0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1030569,0,0,1,0,1,0,0,0,0,9492,-,0,0,4,1,14,0,0,2,WD,0,0,119960101,1
0,0,0,3,2,1,0,1,0,0,0,0,0,0,1,1,0,1030568,0,1,6,0,1,0,0,0,0,9492,-,1,0,2,1,14,0,1,0,GD,0,1,119960101,1
0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1030567,0,0,1,0,1,0,0,0,0,9492,-,0,0,3,1,13,0,0,1,GK,0,0,119960101,1
1,0,0,1,0,3,0,0,4,1,0,0,0,0,0,0,1,1030565,4,0,0,0,1,0,0,2,1,9492,-,4,5,1,1,14,0,3,0,GS,0,0,119960101,1
0,0,0,2,0,2,1,0,0,0,0,0,0,0,5,1,4,1030564,0,0,0,1,1,0,0,0,0,9492,-,2,0,1,1,13,3,1,0,I,0,0,119960101,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1030563,0,0,0,0,1,0,0,0,0,9492,-,0,0,0,1,1,1,0,0,WA,0,0,119960101,1
0,0,0,1,0,1,0,1,1,1,0,1,1,0,2,1,1,1030562,1,0,0,0,1,0,0,1,1,9492,-,2,2,0,1,9,1,1,0,I,0,0,119960101,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1030561,0,0,0,0,1,0,0,0,0,9492,-,0,0,2,1,1,0,0,0,I,0,0,119960101,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030109,0,0,0,0,1,0,0,0,0,9490,-,0,0,0,0,0,0,0,0,I,0,0,119960101,1
1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,1,0,1030108,0,0,0,0,1,0,0,0,0,9490,-,2,0,1,1,14,0,1,0,GD,0,0,119960101,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030107,0,0,0,0,1,0,0,0,0,9490,-,0,0,0,0,0,0,0,0,I,0,0,119960101,1
0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,6,1030106,0,0,2,0,1,0,0,0,0,9490,-,1,0,0,1,14,5,0,0,C,0,0,119960101,1
0,0,0,3,1,0,0,0,0,0,0,0,5,0,3,3,12,1030105,0,0,0,0,1,0,0,0,0,9490,-,0,0,0,1,14,7,0,1,WA,0,0,119960101,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030104,0,0,0,0,1,0,0,0,0,9490,-,0,0,0,0,0,0,0,0,I,0,0,119960101,1
2,1,0,2,0,2,1,0,5,2,0,0,4,0,4,0,6,1030102,5,0,2,0,1,0,0,0,0,9490,-,2,7,2,1,14,5,1,0,GA,0,0,119960101,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,1030101,0,0,2,0,1,0,0,0,0,9490,-,1,0,0,1,14,0,0,2,WD,0,1,119960101,1
2,0,0,1,1,1,0,4,0,0,0,1,0,0,0,0,0,1030099,0,0,0,0,1,0,0,0,0,9490,-,1,0,1,1,14,0,1,0,GK,0,1,119960101,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030097,0,0,0,0,1,0,0,0,0,9490,-,0,0,0,0,0,0,0,0,I,0,0,119960101,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030096,0,0,0,0,1,0,0,0,0,9490,-,0,0,0,0,0,0,0,0,I,0,0,119960101,1
