period,distanceCode,scorepoints,periodSeconds,positionCode,squadId,playerId,scoreName,matchId,scoreFlowId
1,3,1,30,3,9490,1030095,goal,119960101,119960101_1
1,3,1,76,3,9490,1030095,goal,119960101,119960101_1
1,3,0,93,3,9492,1030565,miss,119960101,119960101_1
1,0,1,133,1,9492,1030562,goal,119960101,119960101_1
1,3,0,153,1,9490,1030095,miss,119960101,119960101_1
1,0,1,161,1,9490,1030102,goal,119960101,119960101_1
1,3,1,184,3,9492,1030565,goal,119960101,119960101_1
1,3,1,218,1,9490,1030095,goal,119960101,119960101_1
1,0,1,289,1,9490,1030095,goal,119960101,119960101_1
1,0,0,317,2,9490,1030102,miss,119960101,119960101_1
1,0,1,321,1,9490,1030095,goal,119960101,119960101_1
1,1,1,369,1,9490,1030102,goal,119960101,119960101_1
1,0,0,419,0,9492,1030562,miss,119960101,119960101_1
1,0,1,436,2,9492,1030565,goal,119960101,119960101_1
1,0,1,456,1,9492,1030565,goal,119960101,119960101_1
1,0,0,475,1,9490,1030095,miss,119960101,119960101_1
1,3,1,482,3,9490,1030095,goal,119960101,119960101_1
1,3,1,579,1,9490,1030095,goal,119960101,119960101_1
1,3,1,600,3,9490,1030102,goal,119960101,119960101_1
1,0,1,649,0,9490,1030095,goal,119960101,119960101_1
1,3,1,666,3,9490,1030095,goal,119960101,119960101_1
1,3,1,721,3,9490,1030102,goal,119960101,119960101_1
1,3,1,738,1,9490,1030095,goal,119960101,119960101_1
1,0,0,765,0,9492,1030574,miss,119960101,119960101_1
1,0,0,775,2,9492,1030574,miss,119960101,119960101_1
1,0,1,810,1,9490,1030102,goal,119960101,119960101_1
1,3,1,825,1,9490,1030095,goal,119960101,119960101_1
1,3,1,850,1,9492,1030565,goal,119960101,119960101_1
1,0,1,867,0,9490,1030095,goal,119960101,119960101_1
1,1,0,890,2,9492,1030574,miss,119960101,119960101_1
1,0,0,900,1,9490,1030102,miss,119960101,119960101_1
2,0,1,18,1,9490,1030095,goal,119960101,119960101_1
2,0,1,41,0,9490,1030095,goal,119960101,119960101_1
2,3,1,56,1,9490,1030095,goal,119960101,119960101_1
2,3,1,99,3,9490,1030095,goal,119960101,119960101_1
2,3,1,116,3,9490,1030095,goal,119960101,119960101_1
2,3,1,145,3,9490,1030095,goal,119960101,119960101_1
