periodSecs,awaySquadName,matchType,homeSquadId,homeSquadShortCode,homeSquadNickname,matchStatus,roundNumber,homeSquadName,awaySquadNickname,venueId,awaySquadId,venueCode,localStartTime,matchId,homeSquadScore,period,finalCode,periodCompleted,finalShortCode,awaySquadScore,venueName,utcStartTime,awaySquadCode,homeSquadCode,awaySquadShortCode,matchNumber,sportId,fixtureId
904,Central Pulse,H,808,STE,Steel,complete,1,Southern Steel,Pulse,813,803,SOU,2009-04-04T14:00:00+13:00,80050101,55,4,,4,,46,ILT Stadium Southland,2009-04-04T01:00:00Z,PUL,STE,PUL,1,8,8005
908,West Coast Fever,H,804,VIX,Vixens,complete,1,Melbourne Vixens,Fever,807,810,STA,2009-04-04T14:00:00+11:00,80050102,57,4,,4,,44,State Netball Hockey Centre,2009-04-04T03:00:00Z,FEV,VIX,FEV,2,8,8005
902,Adelaide Thunderbirds,H,807,FIR,Firebirds,complete,1,Queensland Firebirds,Thunderbirds,802,801,BCE,2009-04-05T14:30:00+10:00,80050103,48,4,,4,,60,Brisbane Convention & Exhibition Centre,2009-04-05T04:30:00Z,THU,FIR,THU,3,8,8005
911,Avis WBOP Magic,H,805,MYS,Mystics,complete,1,Northern Mystics,Magic,803,809,TRU,2009-04-06T19:00:00+12:00,80050104,38,4,,4,,51,The Trusts Arena,2009-04-06T07:00:00Z,WBM,MYS,WBM,4,8,8005
904,Mainland Tactix,H,806,SWI,Swifts,complete,1,NSW Swifts,Tactix,816,802,OLY,2009-04-06T19:00:00+10:00,80050105,62,4,,4,,45,Sydney Olympic Park Sports Centre,2009-04-06T09:00:00Z,TAC,SWI,TAC,5,8,8005
907,Southern Steel,H,809,WBM,Magic,complete,2,Avis WBOP Magic,Steel,822,808,QEY,2009-04-11T14:00:00+12:00,80050201,54,4,,4,,47,Queen Elizabeth Youth Centre,2009-04-11T02:00:00Z,STE,WBM,STE,1,8,8005
900,NSW Swifts,H,801,THU,Thunderbirds,complete,2,Adelaide Thunderbirds,Swifts,812,806,ETS,2009-04-12T14:00:00+09:30,80050202,48,4,,4,,47,Netball SA Stadium,2009-04-12T04:30:00Z,SWI,THU,SWI,2,8,8005
908,Central Pulse,H,805,MYS,Mystics,complete,2,Northern Mystics,Pulse,817,803,NSH,2009-04-12T18:30:00+12:00,80050203,54,4,,4,,50,North Shore Events Centre,2009-04-12T06:30:00Z,PUL,MYS,PUL,3,8,8005
910,West Coast Fever,H,802,TAC,Tactix,complete,2,Mainland Tactix,Fever,806,810,CBS,2009-04-13T19:00:00+12:00,80050204,52,4,,4,,44,CBS Canterbury Arena,2009-04-13T07:00:00Z,FEV,TAC,FEV,4,8,8005
904,Melbourne Vixens,H,807,FIR,Firebirds,complete,2,Queensland Firebirds,Vixens,802,804,BCE,2009-04-13T19:00:00+10:00,80050205,51,4,,4,,54,Brisbane Convention & Exhibition Centre,2009-04-13T09:00:00Z,VIX,FIR,VIX,5,8,8005
2565,Queensland Firebirds,H,803,PUL,Pulse,complete,3,Central Pulse,Firebirds,801,807,TBS,2009-04-18T14:00:00+12:00,80050301,46,4,,4,,58,TSB Bank Arena,2009-04-18T02:00:00Z,FIR,PUL,FIR,1,8,8005
915,Melbourne Vixens,H,801,THU,Thunderbirds,complete,3,Adelaide Thunderbirds,Vixens,812,804,ETS,2009-04-19T14:00:00+09:30,80050302,43,4,,4,,49,Netball SA Stadium,2009-04-19T04:30:00Z,VIX,THU,VIX,2,8,8005
909,Mainland Tactix,H,808,STE,Steel,complete,3,Southern Steel,Tactix,815,802,EDC,2009-04-19T18:30:00+12:00,80050303,52,4,,4,,48,Edgar Centre,2009-04-19T06:30:00Z,TAC,STE,TAC,3,8,8005
912,Northern Mystics,H,810,FEV,Fever,complete,3,West Coast Fever,Mystics,808,805,CHA,2009-04-20T17:00:00+08:00,80050305,57,4,,4,,46,Challenge Stadium,2009-04-20T09:00:00Z,MYS,FEV,MYS,5,8,8005
916,NSW Swifts,H,809,WBM,Magic,complete,3,Avis WBOP Magic,Swifts,811,806,MYS,2009-04-20T19:00:00+12:00,80050304,63,4,,4,,45,Mystery Creek Events Centre,2009-04-20T07:00:00Z,SWI,WBM,SWI,4,8,8005
911,West Coast Fever,H,803,PUL,Pulse,complete,4,Central Pulse,Fever,814,810,MAN,2009-04-25T14:00:00+12:00,80050401,54,4,,4,,60,Arena Manawatu,2009-04-25T02:00:00Z,FEV,PUL,FEV,1,8,8005
901,Southern Steel,H,804,VIX,Vixens,complete,4,Melbourne Vixens,Steel,807,808,STA,2009-04-25T14:00:00+10:00,80050402,48,4,,4,,31,State Netball Hockey Centre,2009-04-25T04:00:00Z,STE,VIX,STE,2,8,8005
918,Avis WBOP Magic,H,807,FIR,Firebirds,complete,4,Queensland Firebirds,Magic,802,809,BCE,2009-04-26T14:30:00+10:00,80050403,53,4,,4,,42,Brisbane Convention & Exhibition Centre,2009-04-26T04:30:00Z,WBM,FIR,WBM,3,8,8005
425,Adelaide Thunderbirds,H,802,TAC,Tactix,complete,4,Mainland Tactix,Thunderbirds,806,801,CBS,2009-04-27T19:00:00+12:00,80050404,48,6,,6,,53,CBS Canterbury Arena,2009-04-27T07:00:00Z,THU,TAC,THU,4,8,8005
901,Northern Mystics,H,806,SWI,Swifts,complete,4,NSW Swifts,Mystics,816,805,OLY,2009-04-27T19:00:00+10:00,80050405,59,4,,4,,55,Sydney Olympic Park Sports Centre,2009-04-27T09:00:00Z,MYS,SWI,MYS,5,8,8005
901,Avis WBOP Magic,H,802,TAC,Tactix,complete,5,Mainland Tactix,Magic,806,809,CBS,2009-05-02T14:00:00+12:00,80050501,48,4,,4,,50,CBS Canterbury Arena,2009-05-02T02:00:00Z,WBM,TAC,WBM,1,8,8005
911,Adelaide Thunderbirds,H,804,VIX,Vixens,complete,5,Melbourne Vixens,Thunderbirds,810,801,HIS,2009-05-03T14:30:00+10:00,80050502,50,4,,4,,42,Hisense Arena,2009-05-03T04:30:00Z,THU,VIX,THU,2,8,8005
428,NSW Swifts,H,810,FEV,Fever,complete,5,West Coast Fever,Swifts,808,806,CHA,2009-05-04T17:00:00+08:00,80050504,67,6,,6,,66,Challenge Stadium,2009-05-04T09:00:00Z,SWI,FEV,SWI,4,8,8005
420,Northern Mystics,H,803,PUL,Pulse,complete,5,Central Pulse,Mystics,801,805,TBS,2009-05-04T19:00:00+12:00,80050503,60,6,,6,,61,TSB Bank Arena,2009-05-04T07:00:00Z,MYS,PUL,MYS,3,8,8005
904,Central Pulse,H,809,WBM,Magic,complete,6,Avis WBOP Magic,Pulse,811,803,MYS,2009-05-09T14:00:00+12:00,80050601,59,4,,4,,36,Mystery Creek Events Centre,2009-05-09T02:00:00Z,PUL,WBM,PUL,1,8,8005
904,Adelaide Thunderbirds,H,806,SWI,Swifts,complete,6,NSW Swifts,Thunderbirds,816,801,OLY,2009-05-10T14:30:00+10:00,80050602,40,4,,4,,51,Sydney Olympic Park Sports Centre,2009-05-10T04:30:00Z,THU,SWI,THU,2,8,8005
908,Southern Steel,H,805,MYS,Mystics,complete,6,Northern Mystics,Steel,803,808,TRU,2009-05-11T19:00:00+12:00,80050603,52,4,,4,,61,The Trusts Arena,2009-05-11T07:00:00Z,STE,MYS,STE,3,8,8005
