rebounds,turnoverHeld,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,secondPhaseReceive,badPasses,breaks,blocks,badHands,missedGoalTurnover,squadId,deflectionPossessionGain,possessionChanges,startingPositionCode,goalAttempts,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,currentPositionCode,gainToGoalPerc,intercepts,shortDisplayName,firstname,surname,displayName,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
2,0,0,2,1,4,0,0,45,9,0,0,0,0,0,0,0,80078,45,0,0,0,0,0,3,0,807,0,4,GS,54,2,0,0,0,4,1,Unknown,0,0,"Aiken George, R",Romelda,Aiken George,R.Aiken George,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
5,0,0,0,2,1,0,0,9,6,0,0,6,0,6,0,17,80087,9,0,0,0,0,0,0,0,807,0,1,GA,15,0,0,0,0,0,0,Unknown,0,0,Lawson,Janelle,Lawson,J.Lawson,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
0,0,0,1,0,4,0,0,0,0,0,0,7,0,27,0,27,80085,0,0,0,3,0,0,1,0,807,0,4,WA,0,1,0,0,0,4,1,Unknown,0,0,"Greenway, T",Tamsin,Greenway,T.Greenway,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
0,0,0,11,3,3,0,0,0,0,0,0,9,0,0,3,22,80081,0,0,0,1,0,0,1,0,807,0,3,C,0,8,0,0,0,2,1,Unknown,0,0,Nourse,Lauren,Nourse,L.Nourse,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,80077,0,1,0,0,0,0,0,0,807,0,0,WD,0,6,0,0,0,0,0,Unknown,0,0,Trompf,Keirra,Trompf,K.Trompf,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,80083,0,0,0,0,0,0,0,0,807,0,0,GD,0,3,0,0,0,0,0,Unknown,0,0,Stephens,Peta,Stephens,P.Stephens,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
5,0,0,20,5,1,0,0,0,0,0,0,0,0,0,1,0,80080,0,0,0,0,0,0,0,0,807,0,1,GK,0,19,0,0,0,1,2,Unknown,0,1,"Geitz, L",Laura,Geitz,L.Geitz,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80086,0,0,0,0,0,0,0,0,807,0,0,-,0,0,0,0,0,0,0,Unknown,0,0,O'Connor,Jenny,O'Connor,J.O'Connor,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
0,0,0,2,0,1,0,0,0,1,0,0,3,0,6,2,6,80155,0,0,0,1,0,0,0,0,807,0,1,-,1,0,0,0,0,1,0,Unknown,0,0,Castrisos,Alissa,Castrisos,A.Castrisos,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
3,0,0,13,1,3,0,0,0,0,0,0,0,0,6,0,0,80020,0,0,0,1,0,0,0,0,807,0,3,-,0,13,0,0,0,2,1,Unknown,0,1,Fellowes,Demelza,Fellowes,D.Fellowes,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80179,0,0,0,0,0,0,0,0,807,0,0,-,0,0,0,0,0,0,0,Unknown,0,0,"Dziwoki, C",Carla,Dziwoki,C.Dziwoki,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,4,0,80076,0,0,0,0,0,0,0,0,807,0,0,-,0,4,0,0,0,0,2,Unknown,0,0,"McMeniman, C",Clare,McMeniman,C.McMeniman,Queensland Firebirds,810,807,West Coast Fever,14,8005,8,80051405
4,0,0,2,0,5,0,0,41,12,0,0,4,0,0,0,4,80113,41,0,0,0,0,0,5,0,810,0,5,GS,53,2,0,0,0,5,0,Unknown,0,0,"Bassett, C",Caitlin,Bassett,C.Bassett,West Coast Fever,810,807,Queensland Firebirds,14,8005,8,80051405
