period,distanceCode,scorepoints,periodSeconds,positionCode,squadId,playerId,scoreName,matchId,scoreFlowId
1,0,0,14,2,807,80078,miss,80051405,80051405_1
1,0,1,28,2,807,80087,goal,80051405,80051405_1
1,1,1,45,1,810,80113,goal,80051405,80051405_1
1,0,1,91,0,810,80130,goal,80051405,80051405_1
1,1,1,112,1,810,80130,goal,80051405,80051405_1
1,0,1,140,1,807,80078,goal,80051405,80051405_1
1,0,1,177,1,807,80078,goal,80051405,80051405_1
1,0,1,215,0,810,80113,goal,80051405,80051405_1
1,1,1,242,0,807,80087,goal,80051405,80051405_1
1,0,1,255,1,807,80078,goal,80051405,80051405_1
1,0,1,285,1,810,80113,goal,80051405,80051405_1
1,1,1,311,1,810,80113,goal,80051405,80051405_1
1,0,0,357,0,807,80078,miss,80051405,80051405_1
1,0,1,362,0,807,80078,goal,80051405,80051405_1
1,0,0,432,2,810,80113,miss,80051405,80051405_1
1,0,1,435,1,810,80113,goal,80051405,80051405_1
1,0,0,458,1,810,80113,miss,80051405,80051405_1
1,0,1,501,1,807,80078,goal,80051405,80051405_1
1,0,1,526,1,807,80078,goal,80051405,80051405_1
1,1,1,543,2,810,80113,goal,80051405,80051405_1
1,0,0,568,2,807,80087,miss,80051405,80051405_1
1,0,1,573,2,807,80087,goal,80051405,80051405_1
1,0,1,585,1,810,80113,goal,80051405,80051405_1
1,0,1,617,1,807,80078,goal,80051405,80051405_1
1,0,1,649,1,807,80078,goal,80051405,80051405_1
1,1,0,699,0,810,80130,miss,80051405,80051405_1
1,0,1,718,0,807,80078,goal,80051405,80051405_1
1,1,1,734,0,810,80130,goal,80051405,80051405_1
1,0,1,759,2,807,80078,goal,80051405,80051405_1
1,0,0,783,2,810,80130,miss,80051405,80051405_1
1,0,1,805,0,807,80078,goal,80051405,80051405_1
1,1,1,829,1,807,80087,goal,80051405,80051405_1
1,0,1,843,0,810,80113,goal,80051405,80051405_1
1,1,0,870,2,810,80113,miss,80051405,80051405_1
1,0,0,888,2,807,80087,miss,80051405,80051405_1
1,0,0,892,2,807,80087,miss,80051405,80051405_1
1,0,0,897,2,807,80087,miss,80051405,80051405_1
1,0,1,906,1,807,80078,goal,80051405,80051405_1
2,0,1,49,1,807,80078,goal,80051405,80051405_1
2,0,0,132,1,807,80078,miss,80051405,80051405_1
2,0,1,178,0,810,80113,goal,80051405,80051405_1
2,0,1,194,1,810,80130,goal,80051405,80051405_1
2,1,0,210,1,810,80113,miss,80051405,80051405_1
2,1,1,275,1,810,80113,goal,80051405,80051405_1
2,0,1,304,0,810,80113,goal,80051405,80051405_1
2,0,0,366,0,807,80078,miss,80051405,80051405_1
2,0,1,370,0,807,80078,goal,80051405,80051405_1
2,0,1,423,1,810,80113,goal,80051405,80051405_1
2,1,0,446,0,807,80087,miss,80051405,80051405_1
2,0,1,455,0,807,80087,goal,80051405,80051405_1
