rebounds,turnoverHeld,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,secondPhaseReceive,badPasses,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,contactPenalties,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,currentPositionCode,gainToGoalPerc,intercepts,matchId,periodId
1,0,0,8,2,0,0,0,0,0,0,0,0,0,0,4,0,80131,0,0,0,0,4,0,0,0,0,810,I,0,0,4,0,0,0,0,0,GK,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80130,0,0,0,0,4,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80165,0,0,0,0,4,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80133,0,0,0,0,4,0,0,0,0,810,GK,0,0,0,0,0,0,0,0,I,0,0,80051405,4
0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,80132,0,0,0,0,4,0,0,0,0,810,WD,0,0,1,0,0,0,0,0,WD,0,0,80051405,4
1,0,0,2,0,1,0,0,3,1,0,0,3,0,1,0,4,80135,3,0,0,0,4,0,0,0,0,810,GA,1,4,2,0,0,0,1,0,GA,0,0,80051405,4
0,0,0,1,0,1,0,0,0,0,0,0,2,0,8,1,6,80041,0,0,0,0,4,1,0,0,0,810,WA,1,0,0,0,0,0,1,0,WA,0,0,80051405,4
0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,80077,0,1,0,0,4,0,0,0,0,807,WD,0,0,6,0,0,0,0,0,WD,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80076,0,0,0,0,4,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,4
1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,3,0,80044,0,0,0,0,4,0,0,0,0,810,GD,0,0,5,0,0,0,0,0,GD,0,0,80051405,4
0,0,0,1,0,1,0,0,11,2,0,0,0,0,0,0,0,80078,11,0,0,0,4,0,0,1,0,807,GS,1,13,1,0,0,0,1,0,GS,0,0,80051405,4
0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,7,80081,0,0,0,0,4,0,0,0,0,807,C,0,0,3,0,0,0,0,0,C,0,0,80051405,4
2,0,0,0,0,1,0,0,13,3,0,0,1,0,0,0,1,80113,13,0,0,0,4,0,0,1,0,810,GS,1,16,0,0,0,0,1,0,GS,0,0,80051405,4
0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,80080,0,0,0,0,4,0,0,0,0,807,GK,0,0,6,0,0,0,0,0,GK,0,0,80051405,4
1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,80083,0,0,0,0,4,0,0,0,0,807,I,0,0,3,0,0,0,0,0,GD,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80179,0,0,0,0,4,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,8,80085,0,0,0,0,4,0,0,0,0,807,WA,0,0,0,0,0,0,0,0,WA,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80181,0,0,0,0,4,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80020,0,0,0,0,4,0,0,0,0,807,GD,0,0,0,0,0,0,0,0,I,0,0,80051405,4
0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,3,80087,2,0,0,0,4,0,0,0,0,807,I,0,3,0,0,0,0,0,0,GA,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80086,0,0,0,0,4,0,0,0,0,807,I,0,0,0,0,0,0,0,0,I,0,0,80051405,4
0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,8,80152,0,1,0,0,4,0,0,0,0,810,C,0,0,3,0,0,0,0,0,C,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,80155,0,0,0,0,4,0,0,0,0,807,GA,0,0,0,0,0,0,0,0,I,0,0,80051405,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80122,0,0,0,0,4,0,0,0,0,810,I,0,0,0,0,0,0,0,0,I,0,0,80051405,4
