id,name,regulationPeriodLength,regulationPeriods,rounds,season,extraTimePeriodLength,cleaned_name,league_season
8005,ANZ Championship,900,4,14,2009,,ANZ Championship,ANZ Championship (2009)
8006,ANZ Finals,900,4,3,2009,,ANZ Finals,ANZ Finals (2009)
8012,ANZ Championship,900,4,14,2010,,ANZ Championship,ANZ Championship (2010)
8013,ANZ Finals,900,4,1,2010,,ANZ Finals,ANZ Finals (2010)
8018,ANZ Championship,900,4,12,2011,,ANZ Championship,ANZ Championship (2011)
8019,ANZ Finals,900,4,1,2011,,ANZ Finals,ANZ Finals (2011)
8028,ANZ Championship,900,4,14,2012,,ANZ Championship,ANZ Championship (2012)
8029,ANZ Finals,900,4,1,2012,,ANZ Finals,ANZ Finals (2012)
8035,ANZ Championship,900,4,14,2013,,ANZ Championship,ANZ Championship (2013)
8036,ANZ Finals,900,4,1,2013,,ANZ Finals,ANZ Finals (2013)
9084,ANZ Championship,900,4,14,2014,,ANZ Championship,ANZ Championship (2014)
9085,ANZ Finals,900,4,1,2014,,ANZ Finals,ANZ Finals (2014)
9151,Auckland Nines,900,2,1,2014,,Auckland Nines,Auckland Nines (2014)
9205,College Netball,900,4,4,2014,,College Netball,College Netball (2014)
9135,2014 NRL Premiership,2400,2,26,2014,,NRL Premiership,NRL Premiership (2014)
9136,2014 NRL Finals,2400,2,4,2014,,NRL Finals,NRL Finals (2014)
9137,2014 State of Origin,2400,2,1,2014,,State of Origin,State of Origin (2014)
9265,2014 Group Championships Under 23,900,4,1,2014,,Group Championships Under 23,Group Championships Under 23 (2014)
9305,FAST5,900,4,1,2014,,FAST5,FAST5 (2014)
9315,Constellation Cup,900,4,1,2014,,Constellation Cup,Constellation Cup (2014)
9325,State Championship,2400,2,1,2014,,State Championship,State Championship (2014)
9350,Lion Foundation National Champs,900,4,1,2014,,Lion Foundation National Champs,Lion Foundation National Champs (2014)
9355,Secondary School Champs,900,4,1,2014,,Secondary School Champs,Secondary School Champs (2014)
9335,England in Australia,900,4,1,2014,,England in Australia,England in Australia (2014)
9336,England in New Zealand,900,4,1,2014,,England in New Zealand,England in New Zealand (2014)
9166,Four Nations,2400,2,1,2014,,Four Nations,Four Nations (2014)
9347,Auckland Nines,900,2,1,2015,,Auckland Nines,Auckland Nines (2015)
9369,2015 NRL Premiership,2400,2,26,2015,,NRL Premiership,NRL Premiership (2015)
9370,2015 NRL Finals,2400,2,4,2015,,NRL Finals,NRL Finals (2015)
9371,2015 Australia v NZ Test,2400,2,1,2015,,Australia v NZ Test,Australia v NZ Test (2015)
9372,2015 State of Origin,2400,2,1,2015,,State of Origin,State of Origin (2015)
9373,2015 Country v City,2400,2,1,2015,,Country v City,Country v City (2015)
9380,2015 Indigenous All Stars,2400,2,1,2015,,Indigenous All Stars,Indigenous All Stars (2015)
9589,2015 Charity Shield,2400,2,1,2015,,Charity Shield,Charity Shield (2015)
9563,ANZ Championship,900,4,14,2015,,ANZ Championship,ANZ Championship (2015)
9564,ANZ Finals,900,4,1,2015,,ANZ Finals,ANZ Finals (2015)
9603,College Netball,900,4,4,2015,,College Netball,College Netball (2015)
9663,Trans-Tasman U19,900,4,1,2015,,Trans-Tasman U19,Trans-Tasman U19 (2015)
9643,Silver Ferns Internationals,900,4,1,2015,,Silver Ferns Internationals,Silver Ferns Internationals (2015)
9644,Constellation Cup,900,4,1,2015,,Constellation Cup,Constellation Cup (2015)
9723,2015 Group Championships Under 23,900,4,1,2015,,Group Championships Under 23,Group Championships Under 23 (2015)
9623,NWC Preliminary,900,4,4,2015,,NWC Preliminary,NWC Preliminary (2015)
9703,NWC Qualification,900,4,4,2015,,NWC Qualification,NWC Qualification (2015)
9704,NWC Placings,900,4,2,2015,,NWC Placings,NWC Placings (2015)
9705,NWC Medals,900,4,3,2015,,NWC Medals,NWC Medals (2015)
9813,Netball NZ National Champs,900,4,3,2015,,Netball NZ National Champs,Netball NZ National Champs (2015)
9814,Netball NZ Secondary Schools,900,4,3,2015,,Netball NZ Secondary Schools,Netball NZ Secondary Schools (2015)
9815,2016 AFL Season,1200,4,23,2016,,AFL Season,AFL Season (2016)
9835,2016 AFL Finals,1200,4,4,2016,,AFL Finals,AFL Finals (2016)
9818,ANZ Championship,900,4,14,2016,,ANZ Championship,ANZ Championship (2016)
9819,ANZ Finals,900,4,4,2016,,ANZ Finals,ANZ Finals (2016)
9843,England Roses vs Australian Diamonds,900,4,1,2016,,England Roses vs Australian Diamonds,England Roses vs Australian Diamonds (2016)
9906,2016 NRL Country v City,2400,2,1,2016,,NRL Country v City,NRL Country v City (2016)
9914,2016 Australia Tests,2400,2,1,2016,,Australia Tests,Australia Tests (2016)
9865,2016 Charity Shield,2400,2,1,2016,,Charity Shield,Charity Shield (2016)
9866,2016 Club World Series,2400,2,1,2016,,Club World Series,Club World Series (2016)
9874,2016 Indigenous All Stars,2400,2,1,2016,,Indigenous All Stars,Indigenous All Stars (2016)
9867,2016 Telstra NRL Premiership,2400,2,26,2016,,Telstra NRL Premiership,Telstra NRL Premiership (2016)
9868,2016 Telstra NRL Finals,2400,2,4,2016,,Telstra NRL Finals,Telstra NRL Finals (2016)
9863,2016 Auckland Nines,900,2,2,2016,,Auckland Nines,Auckland Nines (2016)
9864,2016 State of Origin,2400,2,1,2016,,State of Origin,State of Origin (2016)
9954,2016 Beko National League,900,4,12,2016,,Beko National League,Beko National League (2016)
9953,2016 Constellation Cup,900,4,1,2016,,Constellation Cup,Constellation Cup (2016)
9973,2016 International Netball Super Series,900,4,1,2016,,International Netball Super Series,International Netball Super Series (2016)
9975,2016 Taini Jamison Trophy,900,4,1,2016,,Taini Jamison Trophy,Taini Jamison Trophy (2016)
10003,Netball NZ U19 Champs,900,4,2,2016,,Netball NZ U19 Champs,Netball NZ U19 Champs (2016)
10013,Fast5 World Series,360,4,2,2016,,Fast5 World Series,Fast5 World Series (2016)
10053,2016 Netball NZ Secondary School,900,4,3,2016,,Netball NZ Secondary School,Netball NZ Secondary School (2016)
10063,Four Nations,2400,2,2,2016,,Four Nations,Four Nations (2016)
10083,2017 Super Netball,900,4,14,2017,,Super Netball,Super Netball (2017)
10084,2017 Super Netball Finals,900,4,3,2017,,Super Netball Finals,Super Netball Finals (2017)
10093,2017 Country v City,2400,2,1,2017,,Country v City,Country v City (2017)
10094,Auckland Nines,900,2,1,2017,,Auckland Nines,Auckland Nines (2017)
10097,Auckland Nines Finals,900,2,1,2017,,Auckland Nines Finals,Auckland Nines Finals (2017)
10064,2017 AFL Womens,900,4,7,2017,300.0,AFL Womens,AFL Womens (2017)
10185,2016 AFL Womens Test,1200,4,1,2017,,AFL Womens Test,AFL Womens Test (2017)
10200,2017 Netball Quad Series - January,900,4,1,2017,,Netball Quad Series - January,Netball Quad Series - January (2017)
10201,2017 Silver Ferns Tour of Wales,900,4,1,2017,,Silver Ferns Tour of Wales,Silver Ferns Tour of Wales (2017)
9923,Womens AFL Test,1200,4,1,2016,,Womens AFL Test,Womens AFL Test (2016)
10095,2017 Telstra NRL Premiership,2400,2,26,2017,,Telstra NRL Premiership,Telstra NRL Premiership (2017)
10096,2017 Telstra NRL Finals,2400,2,4,2017,,Telstra NRL Finals,Telstra NRL Finals (2017)
10099,2017 State of Origin,2400,2,1,2017,,State of Origin,State of Origin (2017)
10100,2017 Australia v NZ,2400,2,1,2017,,Australia v NZ,Australia v NZ (2017)
10101,2017 Indigenous All Stars,2400,2,1,2017,,Indigenous All Stars,Indigenous All Stars (2017)
10170,2017 Charity Shield,2400,2,1,2017,,Charity Shield,Charity Shield (2017)
10107,2017 Club World Series,2400,2,1,2017,,Club World Series,Club World Series (2017)
10088,2017 ANZ Premiership,900,4,13,2017,,ANZ Premiership,ANZ Premiership (2017)
10089,2017 ANZ Premiership Finals,900,4,2,2017,,ANZ Premiership Finals,ANZ Premiership Finals (2017)
10244,NNZ Pre-Season,900,4,3,2017,,NNZ Pre-Season,NNZ Pre-Season (2017)
10123,AFL Womens Finals,900,4,1,2017,300.0,AFL Womens Finals,AFL Womens Finals (2017)
10253,2017 Beko Netball League,900,4,13,2017,,Beko Netball League,Beko Netball League (2017)
10313,2017 Super Club,900,4,2,2017,,Super Club,Super Club (2017)
10297,2017 Taini Jamison Trophy,900,4,1,2017,,Taini Jamison Trophy,Taini Jamison Trophy (2017)
10293,2017 Netball Quad Series - August,900,4,1,2017,,Netball Quad Series - August,Netball Quad Series - August (2017)
10294,2017 Constellation Cup,900,4,1,2017,,Constellation Cup,Constellation Cup (2017)
10295,2017 Fast5 World Series,360,4,2,2017,,Fast5 World Series,Fast5 World Series (2017)
10102,2017 NZ Secondary Schools - Pool Phase 1,1200,4,3,2017,,NZ Secondary Schools - Pool Phase 1,NZ Secondary Schools - Pool Phase 1 (2017)
10395,2017 NZ Secondary Schools - Pool Phase 2,1200,4,3,2017,,NZ Secondary Schools - Pool Phase 2,NZ Secondary Schools - Pool Phase 2 (2017)
10396,2017 NZ Secondary Schools - Finals,1200,4,1,2017,,NZ Secondary Schools - Finals,NZ Secondary Schools - Finals (2017)
10105,2017 Rugby League World Cup,2400,2,3,2017,,Rugby League World Cup,Rugby League World Cup (2017)
10106,2017 Rugby League World Cup Finals,2400,2,3,2017,,Rugby League World Cup Finals,Rugby League World Cup Finals (2017)
10423,2018 January Netball Quad Series,1200,4,1,2018,,January Netball Quad Series,January Netball Quad Series (2018)
10343,AFLW 2018,900,4,7,2018,300.0,AFLW,AFLW (2018)
10344,AFLW Finals 2018,900,4,1,2018,300.0,AFLW Finals,AFLW Finals (2018)
10412,2018 Telstra NRL Premiership,2400,2,26,2018,,Telstra NRL Premiership,Telstra NRL Premiership (2018)
10413,2018 Telstra NRL Finals,2400,2,4,2018,,Telstra NRL Finals,Telstra NRL Finals (2018)
10435,2018 Taini Jamison Trophy,900,4,3,2018,,Taini Jamison Trophy,Taini Jamison Trophy (2018)
10473,2018 State of Origin,2400,2,1,2018,,State of Origin,State of Origin (2018)
10474,2018 Charity Shield,2400,2,1,2018,,Charity Shield,Charity Shield (2018)
10475,2018 Club World Series,2400,2,1,2018,,Club World Series,Club World Series (2018)
